Mito,Nuc,Sex,Day,Day2,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei11,OreAC,M,Day,072924A,1,Bei11_OreAC_M_Day_072924A_1,78,128,3.0463,-29.5478,0.9812,0.0,0.0475
Bei11,OreAC,M,Day,072924A,1,Bei11_OreAC_M_Day_072924A_2,89,139,3.8338,-85.8999,0.9903,0.0,0.0426
Bei11,OreAC,M,Day,072924A,1,Bei11_OreAC_M_Day_072924A_3,86,136,2.6116,-25.5402,0.9738,0.0,0.0484
Bei11,OreAC,M,Day,072924A,1,Bei11_OreAC_M_Day_072924A_4,60,110,1.3108,34.1966,0.9474,0.0,0.0351
Bei11,OreAC,M,Day,072924A,1,Bei11_OreAC_M_Day_072924A_5,91,141,3.3376,-37.687,0.9906,0.0,0.0366
Bei11,OreAC,M,Day,072924A,1,Bei11_OreAC_M_Day_072924A_6,79,129,1.589,75.9614,0.9713,0.0,0.0309
Bei11,OreAC,M,Day,072924A,1,Bei11_OreAC_M_Day_072924A_all,92,142,2.7871,-21.8102,0.9959,0.0,0.0201
Bei11,OreAC,M,Day,072924A,2,Bei11_OreAC_M_Day_072924A_1,71,121,2.6021,-41.3956,0.9766,0.0,0.0455
Bei11,OreAC,M,Day,072924A,2,Bei11_OreAC_M_Day_072924A_2,82,132,3.9091,-74.2512,0.9719,0.0,0.0752
Bei11,OreAC,M,Day,072924A,2,Bei11_OreAC_M_Day_072924A_3,56,106,2.3245,4.4021,0.9265,0.0,0.0749
Bei11,OreAC,M,Day,072924A,2,Bei11_OreAC_M_Day_072924A_4,91,141,2.7097,-55.4022,0.9843,0.0,0.0385
Bei11,OreAC,M,Day,072924A,2,Bei11_OreAC_M_Day_072924A_5,90,140,3.5995,-81.3736,0.9711,0.0,0.0702
Bei11,OreAC,M,Day,072924A,2,Bei11_OreAC_M_Day_072924A_6,54,104,2.0036,54.563,0.9844,0.0,0.0284
Bei11,OreAC,M,Day,072924A,2,Bei11_OreAC_M_Day_072924A_all,85,135,2.4948,-12.78,0.9902,0.0,0.0279
Bei11,OreAC,M,Day,072924A,3,Bei11_OreAC_M_Day_072924A_1,60,110,3.0008,-9.6104,0.9922,0.0,0.03
Bei11,OreAC,M,Day,072924A,3,Bei11_OreAC_M_Day_072924A_2,52,102,3.7184,22.6674,0.9932,0.0,0.0347
Bei11,OreAC,M,Day,072924A,3,Bei11_OreAC_M_Day_072924A_3,80,130,3.0010000000000003,2.9205,0.9912,0.0,0.0318
Bei11,OreAC,M,Day,072924A,3,Bei11_OreAC_M_Day_072924A_4,84,134,3.9098,-34.5123,0.9845,0.0,0.0553
Bei11,OreAC,M,Day,072924A,3,Bei11_OreAC_M_Day_072924A_5,45,95,2.8436,23.4364,0.9811,0.0,0.0445
Bei11,OreAC,M,Day,072924A,3,Bei11_OreAC_M_Day_072924A_6,14,64,2.0813,78.8043,0.9759,0.0,0.0369
Bei11,OreAC,M,Day,072924A,3,Bei11_OreAC_M_Day_072924A_all,43,93,3.0379,17.1207,0.996,0.0,0.0216
Bei11,OreAR,F,Day,072924A,1,Bei11_OreAR_F_Day_072924A_1,36,86,2.2673,21.0792,0.9763,0.0,0.0399
Bei11,OreAR,F,Day,072924A,1,Bei11_OreAR_F_Day_072924A_2,34,84,1.3414,59.5178,0.9607,0.0,0.0308
Bei11,OreAR,F,Day,072924A,1,Bei11_OreAR_F_Day_072924A_3,73,123,2.4925,5.3395,0.9918,0.0,0.0255
Bei11,OreAR,F,Day,072924A,1,Bei11_OreAR_F_Day_072924A_4,2,52,1.3558,59.9827,0.9599,0.0,0.0314
Bei11,OreAR,F,Day,072924A,1,Bei11_OreAR_F_Day_072924A_5,23,73,1.6243,40.4064,0.9874,0.0,0.0207
Bei11,OreAR,F,Day,072924A,1,Bei11_OreAR_F_Day_072924A_6,84,134,2.5637,27.406999999999996,0.9852,0.0,0.0354
Bei11,OreAR,F,Day,072924A,1,Bei11_OreAR_F_Day_072924A_all,44,94,1.8614,36.9956,0.9958,0.0,0.0135
Bei11,OreAR,F,Day,072924A,2,Bei11_OreAR_F_Day_072924A_1,38,88,2.4026,13.7553,0.9897,0.0,0.0276
Bei11,OreAR,F,Day,072924A,2,Bei11_OreAR_F_Day_072924A_2,18,68,2.1166,43.4447,0.9949,0.0,0.017
