Mito,Nuc,Sex,Rep,Slope,Build,Vial,Set,Treatment,Stock
Bei54,375,M,2,3.8722,A,5,1,Control,30A
Bei54,375,M,2,3.1217,A,6,1,Control,30A
Bei54,375,M,2,3.683,B,1,1,Control,30B
Bei54,375,M,2,4.4257,B,2,1,Control,30B
Bei54,375,M,2,3.2722,B,3,1,Control,30B
Bei54,375,M,2,3.0965,B,4,1,Control,30B
Bei54,375,M,2,5.1286,B,5,1,Control,30B
Bei54,375,M,2,3.7544,B,6,1,Control,30B
Bei54,375,M,3,3.0996,A,1,1,Control,30A
Bei54,375,M,3,2.9002,A,2,1,Control,30A
Bei54,375,M,3,3.1279,A,3,1,Control,30A
Bei54,375,M,3,2.3983,A,4,1,Control,30A
Bei54,375,M,3,3.3782,A,5,1,Control,30A
Bei54,375,M,3,4.1377,A,6,1,Control,30A
Bei54,375,M,3,3.0085,B,1,1,Control,30B
Bei54,375,M,3,4.3582,B,2,1,Control,30B
Bei54,375,M,3,3.6693,B,3,1,Control,30B
Bei54,375,M,3,3.7552,B,4,1,Control,30B
Bei54,375,M,3,3.2571,B,5,1,Control,30B
Bei54,375,M,3,3.6927,B,6,1,Control,30B
Bei54,Ore,F,1,1.0305,A,1,1,Rotenone,20A
Bei54,Ore,F,1,0.9718,A,2,1,Rotenone,20A
Bei54,Ore,F,1,1.0156,A,3,1,Rotenone,20A
Bei54,Ore,F,1,1.1875,A,4,1,Rotenone,20A
Bei54,Ore,F,1,1.1851,A,5,1,Rotenone,20A
Bei54,Ore,F,1,0.905,A,6,1,Rotenone,20A
Bei54,Ore,F,1,0.2855,B,1,1,Rotenone,20B
Bei54,Ore,F,1,0.5654,B,2,1,Rotenone,20B
Bei54,Ore,F,1,1.0679,B,3,1,Rotenone,20B
Bei54,Ore,F,1,0.4054,B,4,1,Rotenone,20B
Bei54,Ore,F,1,1.1227,B,5,1,Rotenone,20B
Bei54,Ore,F,1,1.4497,B,6,1,Rotenone,20B
Bei54,Ore,F,2,1.3325,A,1,1,Rotenone,20A
Bei54,Ore,F,2,0.7992,A,2,1,Rotenone,20A
Bei54,Ore,F,2,1.2312,A,3,1,Rotenone,20A
Bei54,Ore,F,2,0.7418,A,4,1,Rotenone,20A
Bei54,Ore,F,2,0.7382,A,5,1,Rotenone,20A
Bei54,Ore,F,2,1.3939,A,6,1,Rotenone,20A
Bei54,Ore,F,2,1.1623,B,1,1,Rotenone,20B
Bei54,Ore,F,2,0.7265,B,2,1,Rotenone,20B
Bei54,Ore,F,2,1.9339,B,3,1,Rotenone,20B
Bei54,Ore,F,2,0.5578,B,4,1,Rotenone,20B
Bei54,Ore,F,2,0.938,B,5,1,Rotenone,20B
Bei54,Ore,F,2,2.1911,B,6,1,Rotenone,20B
Bei54,Ore,F,3,1.5145,A,1,1,Rotenone,20A
Bei54,Ore,F,3,1.5431,A,2,1,Rotenone,20A
Bei54,Ore,F,3,1.6951,A,3,1,Rotenone,20A
Bei54,Ore,F,3,1.1826,A,4,1,Rotenone,20A
Bei54,Ore,F,3,0.7571,A,5,1,Rotenone,20A
Bei54,Ore,F,3,1.3806,A,6,1,Rotenone,20A
Bei54,Ore,F,3,0.5429,B,1,1,Rotenone,20B
Bei54,Ore,F,3,0.8469,B,2,1,Rotenone,20B
Bei54,Ore,F,3,1.1111,B,3,1,Rotenone,20B
Bei54,Ore,F,3,0.7952,B,4,1,Rotenone,20B
Bei54,Ore,F,3,1.89,B,5,1,Rotenone,20B
Bei54,Ore,F,3,2.4764,B,6,1,Rotenone,20B
Bei54,Ore,F,1,0.9679,A,1,1,Control,20A
Bei54,Ore,F,1,1.8893,A,2,1,Control,20A
Bei54,Ore,F,1,1.8227,A,3,1,Control,20A
Bei54,Ore,F,1,1.3372,A,4,1,Control,20A
Bei54,Ore,F,1,1.487,A,5,1,Control,20A
Bei54,Ore,F,1,2.1638,A,6,1,Control,20A
Bei54,Ore,F,1,2.1499,B,1,1,Control,20B
Bei54,Ore,F,1,1.4386,B,2,1,Control,20B
Bei54,Ore,F,1,1.8414,B,3,1,Control,20B
Bei54,Ore,F,1,2.2016,B,4,1,Control,20B
Bei54,Ore,F,1,1.5206,B,5,1,Control,20B
Bei54,Ore,F,1,1.1479,B,6,1,Control,20B
Bei54,Ore,F,2,0.639,A,1,1,Control,20A
Bei54,Ore,F,2,2.4097,A,2,1,Control,20A
Bei54,Ore,F,2,0.9592,A,3,1,Control,20A
Bei54,Ore,F,2,2.2617,A,4,1,Control,20A
Bei54,Ore,F,2,0.9803,A,5,1,Control,20A
Bei54,Ore,F,2,1.998,A,6,1,Control,20A
Bei54,Ore,F,2,2.5141,B,1,1,Control,20B
Bei54,Ore,F,2,1.112,B,2,1,Control,20B
Bei54,Ore,F,2,1.5989,B,3,1,Control,20B
Bei54,Ore,F,2,1.2699,B,4,1,Control,20B
Bei54,Ore,F,2,2.0916,B,5,1,Control,20B
Bei54,Ore,F,2,1.4375,B,6,1,Control,20B
Bei54,Ore,F,3,0.7754,A,1,1,Control,20A
Bei54,Ore,F,3,2.3544,A,2,1,Control,20A
Bei54,Ore,F,3,1.136,A,3,1,Control,20A
Bei54,Ore,F,3,2.2124,A,4,1,Control,20A
Bei54,Ore,F,3,1.0136,A,5,1,Control,20A
Bei54,Ore,F,3,2.1035,A,6,1,Control,20A
Bei54,Ore,F,3,2.6503,B,1,1,Control,20B
Bei54,Ore,F,3,2.0741,B,2,1,Control,20B
Bei54,Ore,F,3,2.5333,B,3,1,Control,20B
Bei54,Ore,F,3,1.2667,B,4,1,Control,20B
Bei54,Ore,F,3,1.6218,B,5,1,Control,20B
Bei54,Ore,F,3,1.7908,B,6,1,Control,20B
Bei54,Ore,M,1,1.3819,A,1,1,Rotenone,20A
Bei54,Ore,M,1,1.1866,A,2,1,Rotenone,20A
Bei54,Ore,M,1,1.474,A,3,1,Rotenone,20A
Bei54,Ore,M,1,3.4241,A,4,1,Rotenone,20A
Bei54,Ore,M,1,1.6661,A,5,1,Rotenone,20A
Bei54,Ore,M,1,3.2099,A,6,1,Rotenone,20A
Bei54,Ore,M,1,1.6996,B,1,1,Rotenone,20B
Bei54,Ore,M,1,1.6182,B,2,1,Rotenone,20B
Bei54,Ore,M,1,1.251,B,3,1,Rotenone,20B
Bei54,Ore,M,1,1.0483,B,4,1,Rotenone,20B
Bei54,Ore,M,1,1.211,B,5,1,Rotenone,20B
Bei54,Ore,M,1,1.8491,B,6,1,Rotenone,20B
Bei54,Ore,M,2,1.7284,A,1,1,Rotenone,20A
Bei54,Ore,M,2,1.478,A,2,1,Rotenone,20A
Bei54,Ore,M,2,2.1074,A,3,1,Rotenone,20A
Bei54,Ore,M,2,3.7265,A,4,1,Rotenone,20A
Bei54,Ore,M,2,1.6729,A,5,1,Rotenone,20A
Bei54,Ore,M,2,3.006,A,6,1,Rotenone,20A
Bei54,Ore,M,2,1.1034,B,1,1,Rotenone,20B
Bei54,Ore,M,2,2.0736,B,2,1,Rotenone,20B
Bei54,Ore,M,2,1.4357,B,3,1,Rotenone,20B
Bei54,Ore,M,2,1.2978,B,4,1,Rotenone,20B
Bei54,Ore,M,2,1.1533,B,5,1,Rotenone,20B
Bei54,Ore,M,2,1.4827,B,6,1,Rotenone,20B
