Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
Bei54,375,F,70323,1,Bei54_375B_F_070323__3,40,90,4.1315,22.7152,0.996,0,0.0293,C,B,3
Bei54,375,F,70323,1,Bei54_375B_F_070323__4,4,54,1.9901,62.1615,0.9801,0,0.032,C,B,4
Bei54,375,F,70323,1,Bei54_375B_F_070323__5,17,67,3.3091,47.3101,0.9889,0,0.0395,C,B,5
Bei54,375,F,70323,1,Bei54_375B_F_070323__6,41,91,3.5793,46.2787,0.9621,0,0.0806,C,B,6
Bei54,375,F,70323,2,Bei54_375A_F_070323__1,31,81,2.5411,95.1798,0.9946,0,0.0211,C,A,1
Bei54,375,F,70323,2,Bei54_375A_F_070323__2,90,140,3.2531,25.663,0.9808,0,0.0513,C,A,2
Bei54,375,F,70323,2,Bei54_375A_F_070323__3,17,67,1.7275,54.5038,0.9467,0,0.0466,C,A,3
Bei54,375,F,70323,2,Bei54_375A_F_070323__4,48,98,5.8903,-62.9668,0.9819,0,0.0902,C,A,4
Bei54,375,F,70323,2,Bei54_375A_F_070323__5,22,72,2.0012,67.9576,0.9713,0,0.0389,C,A,5
Bei54,375,F,70323,2,Bei54_375A_F_070323__6,25,75,2.2752,20.6433,0.9623,0,0.0511,C,A,6
Bei54,375,F,70323,2,Bei54_375B_F_070323__1,0,50,4.1909,59.9552,0.995,0,0.0333,C,B,1
Bei54,375,F,70323,2,Bei54_375B_F_070323__2,84,134,2.736,114.8126,0.9936,0,0.0247,C,B,2
Bei54,375,F,70323,2,Bei54_375B_F_070323__3,22,72,3.5613,48.7185,0.9907,0,0.0388,C,B,3
Bei54,375,F,70323,2,Bei54_375B_F_070323__4,48,98,3.3939,31.9108,0.9793,0,0.0557,C,B,4
Bei54,375,F,70323,2,Bei54_375B_F_070323__5,59,109,4.662,2.9663,0.9939,0,0.0412,C,B,5
Bei54,375,F,70323,2,Bei54_375B_F_070323__6,37,87,3.071,43.3399,0.9912,0,0.0325,C,B,6
Bei54,375,F,70323,3,Bei54_375A_F_070323__1,33,83,3.7928,4.3206,0.9878,0,0.0475,C,A,1
Bei54,375,F,70323,3,Bei54_375A_F_070323__2,22,72,5.0238,-1.6575,0.9883,0,0.0614,C,A,2
