Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei11,OreBC,F,073024B,2,Bei11_OreBC_F_073024B__all,87,137,2.1256,-23.3531,0.9958,0.0,0.0155
Bei11,OreBC,F,073024B,3,Bei11_OreBC_F_073024B__1,64,114,1.6738,-16.3326,0.9617,0.0,0.0378
Bei11,OreBC,F,073024B,3,Bei11_OreBC_F_073024B__2,11,61,1.2906,45.9655,0.9635,0.0,0.0285
Bei11,OreBC,F,073024B,3,Bei11_OreBC_F_073024B__3,34,84,1.8405,3.3322,0.9864,0.0,0.0243
Bei11,OreBC,F,073024B,3,Bei11_OreBC_F_073024B__4,25,75,2.18,14.7034,0.9715,0.0,0.0422
Bei11,OreBC,F,073024B,3,Bei11_OreBC_F_073024B__5,21,71,1.7408,9.5071,0.9805,0.0,0.0277
Bei11,OreBC,F,073024B,3,Bei11_OreBC_F_073024B__6,19,69,1.8344,23.514,0.977,0.0,0.0318
Bei11,OreBC,F,073024B,3,Bei11_OreBC_F_073024B__all,31,81,1.636,18.6835,0.9954,0.0,0.0125
Bei11,OreBC,M,073024B,1,Bei11_OreBC_M_073024B__1,32,82,3.0002,62.8379,0.9886,0.0,0.0362
Bei11,OreBC,M,073024B,1,Bei11_OreBC_M_073024B__2,31,81,2.1749,44.4767,0.9837,0.0,0.0315
Bei11,OreBC,M,073024B,1,Bei11_OreBC_M_073024B__3,7,57,1.6695,57.7314,0.9902,0.0,0.0187
Bei11,OreBC,M,073024B,1,Bei11_OreBC_M_073024B__4,5,55,1.4222,69.1313,0.9158,0.0,0.0495
Bei11,OreBC,M,073024B,1,Bei11_OreBC_M_073024B__5,90,140,2.282,1.7918,0.9723,0.0,0.0435
Bei11,OreBC,M,073024B,1,Bei11_OreBC_M_073024B__6,73,123,3.3809,-27.4982,0.9754,0.0,0.0606
Bei11,OreBC,M,073024B,1,Bei11_OreBC_M_073024B__all,47,97,2.0237,51.2767,0.9893,0.0,0.0237
Bei11,OreBC,M,073024B,2,Bei11_OreBC_M_073024B__1,50,100,3.37,-0.8224,0.9902,0.0,0.0378
Bei11,OreBC,M,073024B,2,Bei11_OreBC_M_073024B__2,52,102,2.5702,-5.2593,0.9822,0.0,0.039
Bei11,OreBC,M,073024B,2,Bei11_OreBC_M_073024B__3,36,86,2.2819,21.3308,0.9827,0.0,0.0342
Bei11,OreBC,M,073024B,2,Bei11_OreBC_M_073024B__4,27,77,1.8281,2.9704,0.9884,0.0,0.0223
Bei11,OreBC,M,073024B,2,Bei11_OreBC_M_073024B__5,24,74,1.8211,32.3317,0.97,0.0,0.0362
Bei11,OreBC,M,073024B,2,Bei11_OreBC_M_073024B__6,13,63,2.2894,46.5232,0.9793,0.0,0.0376
Bei11,OreBC,M,073024B,2,Bei11_OreBC_M_073024B__all,49,99,2.2617,21.2003,0.9935,0.0,0.0206
Bei11,OreBC,M,073024B,3,Bei11_OreBC_M_073024B__1,59,109,3.0796,34.6049,0.9937,0.0,0.0275
Bei11,OreBC,M,073024B,3,Bei11_OreBC_M_073024B__2,57,107,3.0694,10.11,0.9924,0.0,0.0301
Bei11,OreBC,M,073024B,3,Bei11_OreBC_M_073024B__3,78,128,2.4158,-9.406,0.9481,0.0,0.0643
Bei11,OreBC,M,073024B,3,Bei11_OreBC_M_073024B__4,37,87,2.0144,22.9235,0.9762,0.0,0.0355
Bei11,OreBC,M,073024B,3,Bei11_OreBC_M_073024B__5,51,101,2.5211,20.7969,0.9852,0.0,0.0348
Bei11,OreBC,M,073024B,3,Bei11_OreBC_M_073024B__6,26,76,2.4752,26.1437,0.9905,0.0,0.0272
Bei11,OreBC,M,073024B,3,Bei11_OreBC_M_073024B__all,52,102,2.2981,32.7454,0.9918,0.0,0.0234
Bei11,OreBR,F,073024B,1,Bei11_OreBR_F_073024B__1,21,71,2.0722,14.2041,0.9677,0.0,0.0428
Bei11,OreBR,F,073024B,1,Bei11_OreBR_F_073024B__2,42,92,3.1714,-1.4285,0.99,0.0,0.0359
Bei11,OreBR,F,073024B,1,Bei11_OreBR_F_073024B__3,13,63,0.1096,31.8413,0.4926,0.0002,0.0154
Bei11,OreBR,F,073024B,1,Bei11_OreBR_F_073024B__4,57,107,1.4702,15.9455,0.9582,0.0,0.0349
Bei11,OreBR,F,073024B,1,Bei11_OreBR_F_073024B__5,70,120,3.1603,-16.1027,0.9883,0.0,0.0386
Bei11,OreBR,F,073024B,1,Bei11_OreBR_F_073024B__6,72,122,2.2,23.1941,0.9958,0.0,0.0161
Bei11,OreBR,F,073024B,1,Bei11_OreBR_F_073024B__all,30,80,1.8247,21.9506,0.9954,0.0,0.0139
Bei11,OreBR,F,073024B,2,Bei11_OreBR_F_073024B__1,12,62,1.2719,42.2693,0.9538,0.0,0.0318
Bei11,OreBR,F,073024B,2,Bei11_OreBR_F_073024B__2,9,59,2.5218,60.0182,0.9946,0.0,0.0209
Bei11,OreBR,F,073024B,2,Bei11_OreBR_F_073024B__3,32,82,0.0727,52.626999999999995,0.3518,0.0114,0.0153
Bei11,OreBR,F,073024B,2,Bei11_OreBR_F_073024B__4,20,70,1.0361,53.0266,0.968,0.0,0.0213
Bei11,OreBR,F,073024B,2,Bei11_OreBR_F_073024B__5,42,92,2.6842,15.7594,0.9917,0.0,0.0276
Bei11,OreBR,F,073024B,2,Bei11_OreBR_F_073024B__6,32,82,1.9615,36.916,0.965,0.0,0.0423
Bei11,OreBR,F,073024B,2,Bei11_OreBR_F_073024B__all,12,62,1.3511,52.4044,0.9957,0.0,0.01
Bei11,OreBR,F,073024B,3,Bei11_OreBR_F_073024B__1,13,63,0.6995,47.6595,0.9511,0.0,0.018000000000000002
Bei11,OreBR,F,073024B,3,Bei11_OreBR_F_073024B__2,24,74,2.0732,40.7862,0.9805,0.0,0.033
Bei11,OreBR,F,073024B,3,Bei11_OreBR_F_073024B__3,76,126,0.1332,48.4054,0.7262,0.0,0.01
Bei11,OreBR,F,073024B,3,Bei11_OreBR_F_073024B__4,19,69,1.4481,62.4004,0.9605,0.0,0.0333
Bei11,OreBR,F,073024B,3,Bei11_OreBR_F_073024B__5,71,121,4.2586,-73.9101,0.975,0.0,0.0771
Bei11,OreBR,F,073024B,3,Bei11_OreBR_F_073024B__6,83,133,2.7223,11.5678,0.995,0.0,0.0216
Bei11,OreBR,F,073024B,3,Bei11_OreBR_F_073024B__all,37,87,1.0814,57.9645,0.9924,0.0,0.0106
Bei11,OreBR,M,073024B,1,Bei11_OreBR_M_073024B__1,26,76,1.5579,37.1018,0.9372,0.0,0.046
Bei11,OreBR,M,073024B,1,Bei11_OreBR_M_073024B__2,35,85,0.6354,42.4567,0.8785,0.0,0.0274
Bei11,OreBR,M,073024B,1,Bei11_OreBR_M_073024B__3,29,79,0.1939,22.8641,0.743,0.0,0.0139
Bei11,OreBR,M,073024B,1,Bei11_OreBR_M_073024B__4,65,115,0.1937,27.0762,0.6244,0.0,0.0192
Bei11,OreBR,M,073024B,1,Bei11_OreBR_M_073024B__5,39,89,0.2367,21.3041,0.6635,0.0,0.0212
Bei11,OreBR,M,073024B,1,Bei11_OreBR_M_073024B__6,54,104,1.8063,16.2903,0.9751,0.0,0.0326
Bei11,OreBR,M,073024B,1,Bei11_OreBR_M_073024B__all,28,78,0.5681,35.8511,0.9793,0.0,0.0093
Bei11,OreBR,M,073024B,2,Bei11_OreBR_M_073024B__1,82,132,0.5342,33.7643,0.9022,0.0,0.0203
Bei11,OreBR,M,073024B,2,Bei11_OreBR_M_073024B__2,52,102,0.3683,38.9051,0.7156,0.0,0.0285
Bei11,OreBR,M,073024B,2,Bei11_OreBR_M_073024B__3,45,95,0.23,39.9988,0.7638,0.0,0.0154
Bei11,OreBR,M,073024B,2,Bei11_OreBR_M_073024B__4,85,135,0.5477,27.5191,0.8813,0.0,0.0233
Bei11,OreBR,M,073024B,2,Bei11_OreBR_M_073024B__5,49,99,0.4865,39.2427,0.8485,0.0,0.0241
Bei11,OreBR,M,073024B,2,Bei11_OreBR_M_073024B__6,58,108,1.0649,42.8918,0.7862,0.0,0.0664
Bei11,OreBR,M,073024B,2,Bei11_OreBR_M_073024B__all,54,104,0.4745,41.6216,0.9296,0.0,0.0149
Bei11,OreBR,M,073024B,3,Bei11_OreBR_M_073024B__1,64,114,0.8131,24.1006,0.9407,0.0,0.0233
Bei11,OreBR,M,073024B,3,Bei11_OreBR_M_073024B__2,81,131,1.2326,-7.138,0.9444,0.0,0.0341
Bei11,OreBR,M,073024B,3,Bei11_OreBR_M_073024B__3,3,53,0.0,32.4582,0.2296,0.105,0.0143
