Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc,Set_adj,Pos_adj,Total_treat,Y_adj,Larval_density
24A,3,Rotenone,2,11.3363636363636,A,110,Bei23_Ore,Bei23,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0961962832033,1.59480144404332
24A,5,Rotenone,2,11.1504854368932,A,103,Bei23_Ore,Bei23,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.9103180837329,1.49331407942238
24B,1,Rotenone,2,11.2875,B,80,Bei23_Ore,Bei23,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0473326468397,1.15985559566787
24B,3,Rotenone,2,11.2835820895522,B,134,Bei23_Ore,Bei23,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0434147363919,1.94275812274368
24B,5,Rotenone,2,11.2983193277311,B,119,Bei23_Ore,Bei23,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0581519745708,1.72528519855596
26A,1,Rotenone,2,11.1491228070175,A,114,Bei11_Ore,Bei11,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.9089554538572,1.65279422382671
26A,3,Rotenone,2,11,A,64,Bei11_Ore,Bei11,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.7598326468397,0.927884476534296
26A,5,Rotenone,2,11.400826446281,A,121,Bei11_Ore,Bei11,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.1606590931207,1.75428158844765
26B,1,Rotenone,2,11.1592592592593,B,135,Bei11_Ore,Bei11,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.919091906099,1.95725631768953
26B,3,Rotenone,2,11.0123966942149,B,121,Bei11_Ore,Bei11,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.7722293410546,1.75428158844765
26B,5,Rotenone,2,11.047619047619,B,126,Bei11_Ore,Bei11,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.8074516944587,1.8267725631769
34A,1,Rotenone,2,11.480198019802,A,101,Bei23_375,Bei23,375,11.4197530919691,11.1795857388088,68.9741035856574,11.2400306666417,1.46431768953069
34A,3,Rotenone,2,11.4555555555556,A,90,Bei23_375,Bei23,375,11.4197530919691,11.1795857388088,68.9741035856574,11.2153882023953,1.30483754512635
34A,5,Rotenone,2,11.6458333333333,A,96,Bei23_375,Bei23,375,11.4197530919691,11.1795857388088,68.9741035856574,11.405665980173,1.39182671480144
34B,1,Rotenone,2,11.4620253164557,B,79,Bei23_375,Bei23,375,11.4197530919691,11.1795857388088,68.9741035856574,11.2218579632954,1.14535740072202
34B,3,Rotenone,2,11.45,B,80,Bei23_375,Bei23,375,11.4197530919691,11.1795857388088,68.9741035856574,11.2098326468397,1.15985559566787
34B,5,Rotenone,2,11.5606060606061,B,66,Bei23_375,Bei23,375,11.4197530919691,11.1795857388088,68.9741035856574,11.3204387074458,0.956880866425993
36A,1,Rotenone,2,11.3313253012048,A,83,Bei11_375,Bei11,375,11.4197530919691,11.1795857388088,68.9741035856574,11.0911579480445,1.20335018050542
36A,3,Rotenone,2,11.3536585365854,A,82,Bei11_375,Bei11,375,11.4197530919691,11.1795857388088,68.9741035856574,11.1134911834251,1.18885198555957
36A,5,Rotenone,2,11.5,A,101,Bei11_375,Bei11,375,11.4197530919691,11.1795857388088,68.9741035856574,11.2598326468397,1.46431768953069
36B,1,Rotenone,2,11.9432989690722,B,97,Bei11_375,Bei11,375,11.4197530919691,11.1795857388088,68.9741035856574,11.7031316159119,1.40632490974729
36B,3,Rotenone,2,11.364406779661,B,59,Bei11_375,Bei11,375,11.4197530919691,11.1795857388088,68.9741035856574,11.1242394265007,0.855393501805054
36B,5,Rotenone,2,11.6449275362319,B,69,Bei11_375,Bei11,375,11.4197530919691,11.1795857388088,68.9741035856574,11.4047601830716,1.00037545126354
41A,1,Rotenone,2,11.1666666666667,A,6,sm21_Ore,sm21,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.9264993135064,0.0869891696750903
41A,3,Rotenone,2,11.0172413793103,A,58,sm21_Ore,sm21,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.77707402615,0.840895306859206
41A,5,Rotenone,2,11.3522727272727,A,88,sm21_Ore,sm21,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.1121053741124,1.27584115523466
41B,1,Rotenone,2,10.8260869565217,B,46,sm21_Ore,sm21,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.5859196033614,0.666916967509025
41B,3,Rotenone,2,11.2076923076923,B,65,sm21_Ore,sm21,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.967524954532,0.942382671480144
41B,5,Rotenone,2,10.6818181818182,B,33,sm21_Ore,sm21,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.4416508286579,0.478440433212996
42A,1,Rotenone,2,11.3775510204082,A,49,yak_Ore,yak,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.1373836672479,0.71041155234657
42A,3,Rotenone,2,11.4111111111111,A,45,yak_Ore,yak,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.1709437579508,0.652418772563177
42A,5,Rotenone,2,11.4444444444444,A,54,yak_Ore,yak,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.2042770912841,0.782902527075812
42B,1,Rotenone,2,10.8076923076923,B,26,yak_Ore,yak,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.567524954532,0.376953068592058
42B,3,Rotenone,2,10.9032258064516,B,62,yak_Ore,yak,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.6630584532913,0.898888086642599
42B,5,Rotenone,2,10.8913043478261,B,46,yak_Ore,yak,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.6511369946658,0.666916967509025
45A,1,Rotenone,2,11.7291666666667,A,48,sm21_375,sm21,375,11.4197530919691,11.1795857388088,68.9741035856574,11.4889993135064,0.695913357400722
45A,3,Rotenone,2,12.0416666666667,A,24,sm21_375,sm21,375,11.4197530919691,11.1795857388088,68.9741035856574,11.8014993135064,0.347956678700361
45A,5,Rotenone,2,11.7777777777778,A,18,sm21_375,sm21,375,11.4197530919691,11.1795857388088,68.9741035856574,11.5376104246175,0.260967509025271
45B,1,Rotenone,2,11.5952380952381,B,63,sm21_375,sm21,375,11.4197530919691,11.1795857388088,68.9741035856574,11.3550707420778,0.913386281588448
45B,3,Rotenone,2,11.5340909090909,B,88,sm21_375,sm21,375,11.4197530919691,11.1795857388088,68.9741035856574,11.2939235559306,1.27584115523466
45B,5,Rotenone,2,11.6538461538462,B,65,sm21_375,sm21,375,11.4197530919691,11.1795857388088,68.9741035856574,11.4136788006859,0.942382671480144
46A,1,Rotenone,2,11.9050632911392,A,79,yak_375,yak,375,11.4197530919691,11.1795857388088,68.9741035856574,11.6648959379789,1.14535740072202
46A,3,Rotenone,2,11.5684931506849,A,73,yak_375,yak,375,11.4197530919691,11.1795857388088,68.9741035856574,11.3283257975246,1.05836823104693
46A,5,Rotenone,2,11.8125,A,32,yak_375,yak,375,11.4197530919691,11.1795857388088,68.9741035856574,11.5723326468397,0.463942238267148
46B,1,Rotenone,2,12.1086956521739,B,69,yak_375,yak,375,11.4197530919691,11.1795857388088,68.9741035856574,11.8685282990136,1.00037545126354
46B,3,Rotenone,2,12.0142857142857,B,35,yak_375,yak,375,11.4197530919691,11.1795857388088,68.9741035856574,11.7741183611254,0.507436823104693
46B,5,Rotenone,2,11.969696969697,B,66,yak_375,yak,375,11.4197530919691,11.1795857388088,68.9741035856574,11.7295296165367,0.956880866425993
Ore,1,Rotenone,2,11.1666666666667,parental,117,Ore_Ore,Ore,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.9264993135064,1.69628880866426
