Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc
22A,3,Control,3,11.546875,A,64,Bei42_Ore,Bei42,Ore
22A,5,Control,3,11.0384615384615,A,26,Bei42_Ore,Bei42,Ore
41A,1,Control,3,10.6558441558442,A,77,siI_Ore,siI,Ore
41A,3,Control,3,10.2727272727273,A,44,siI_Ore,siI,Ore
41A,5,Control,3,10.4705882352941,A,68,siI_Ore,siI,Ore
42A,1,Control,3,10.5571428571429,A,35,yak_Ore,yak,Ore
42A,3,Control,3,10.4473684210526,A,38,yak_Ore,yak,Ore
42A,5,Control,3,10.1216216216216,A,37,yak_Ore,yak,Ore
12A,1,Control,3,11.7987012987013,A,77,ZW140_375,ZW140,375
12A,3,Control,3,11.210843373494,A,83,ZW140_375,ZW140,375
12A,5,Control,3,12.0806451612903,A,31,ZW140_375,ZW140,375
14A,1,Control,3,11.4156626506024,A,83,ZW09_375,ZW09,375
14A,3,Control,3,11.3765432098765,A,81,ZW09_375,ZW09,375
14A,5,Control,3,11.0176470588235,A,85,ZW09_375,ZW09,375
31A,1,Control,3,10.7033898305085,A,59,Bei52_375,Bei52,375
31A,3,Control,3,11.0882352941176,A,68,Bei52_375,Bei52,375
31A,5,Control,3,11.2142857142857,A,70,Bei52_375,Bei52,375
32A,1,Control,3,11.8839285714286,A,112,Bei42_375,Bei42,375
32A,3,Control,3,11.25,A,48,Bei42_375,Bei42,375
32A,5,Control,3,11.6,A,40,Bei42_375,Bei42,375
45A,1,Control,3,10.9615384615385,A,65,siI_375,siI,375
45A,3,Control,3,11.0569620253165,A,79,siI_375,siI,375
45A,5,Control,3,10.9927536231884,A,69,siI_375,siI,375
46A,1,Control,3,11.4047619047619,A,84,yak_375,yak,375
46A,3,Control,3,10.9358974358974,A,78,yak_375,yak,375
46A,5,Control,3,11.0614035087719,A,57,yak_375,yak,375
3B,1,Control,3,10.5520833333333,B,96,ZW140_Ore,ZW140,Ore
3B,3,Control,3,10.9666666666667,B,30,ZW140_Ore,ZW140,Ore
3B,5,Control,3,11.1,B,45,ZW140_Ore,ZW140,Ore
5B,1,Control,3,10.375,B,8,ZW09_Ore,ZW09,Ore
5B,3,Control,3,9.86363636363636,B,22,ZW09_Ore,ZW09,Ore
5B,5,Control,3,10.3181818181818,B,11,ZW09_Ore,ZW09,Ore
21B,1,Control,3,10.3846153846154,B,26,Bei52_Ore,Bei52,Ore
21B,3,Control,3,9.83333333333333,B,18,Bei52_Ore,Bei52,Ore
21B,5,Control,3,10.5,B,23,Bei52_Ore,Bei52,Ore
22B,1,Control,3,10.4142857142857,B,70,Bei42_Ore,Bei42,Ore
22B,3,Control,3,10.1666666666667,B,66,Bei42_Ore,Bei42,Ore
22B,5,Control,3,10.4375,B,80,Bei42_Ore,Bei42,Ore
41B,1,Control,3,10.4,B,80,siI_Ore,siI,Ore
41B,3,Control,3,10.3045977011494,B,87,siI_Ore,siI,Ore
41B,5,Control,3,10.4397590361446,B,83,siI_Ore,siI,Ore
42B,1,Control,3,10.2777777777778,B,27,yak_Ore,yak,Ore
42B,3,Control,3,10.75,B,40,yak_Ore,yak,Ore
42B,5,Control,3,10.1170212765957,B,47,yak_Ore,yak,Ore
12B,1,Control,3,11.4736842105263,B,76,ZW140_375,ZW140,375
12B,3,Control,3,11.2538461538462,B,65,ZW140_375,ZW140,375
12B,5,Control,3,10.6224489795918,B,49,ZW140_375,ZW140,375
14B,1,Control,3,11.0121951219512,B,41,ZW09_375,ZW09,375
14B,3,Control,3,11.04,B,50,ZW09_375,ZW09,375
14B,5,Control,3,10.9150943396226,B,53,ZW09_375,ZW09,375
31B,1,Control,3,10.7428571428571,B,70,Bei52_375,Bei52,375
31B,3,Control,3,11.0961538461538,B,52,Bei52_375,Bei52,375
31B,5,Control,3,10.9366197183099,B,71,Bei52_375,Bei52,375
32B,1,Control,3,11.3518518518519,B,54,Bei42_375,Bei42,375
32B,3,Control,3,11.1571428571429,B,35,Bei42_375,Bei42,375
32B,5,Control,3,11.4583333333333,B,48,Bei42_375,Bei42,375
45B,1,Control,3,11.5,B,46,siI_375,siI,375
45B,3,Control,3,11.5,B,34,siI_375,siI,375
45B,5,Control,3,11.5232558139535,B,43,siI_375,siI,375
46B,1,Control,3,12.4545454545455,B,44,yak_375,yak,375
46B,3,Control,3,11.387323943662,B,71,yak_375,yak,375
46B,5,Control,3,11.4402985074627,B,67,yak_375,yak,375
Ore,1,Control,3,10.7833333333333,parental,60,Ore_Ore,Ore,Ore
Ore,3,Control,3,10.6641791044776,parental,67,Ore_Ore,Ore,Ore
Ore,5,Control,3,10.9754098360656,parental,61,Ore_Ore,Ore,Ore
375,1,Control,3,11.0581395348837,parental,86,375_375,375,375
375,3,Control,3,11.1111111111111,parental,72,375_375,375,375
375,5,Control,3,11.1022727272727,parental,88,375_375,375,375
Ore,1,Rotenone,3,11.4736842105263,parental,38,Ore_Ore,Ore,Ore
Ore,3,Rotenone,3,11.4130434782609,parental,46,Ore_Ore,Ore,Ore
Ore,5,Rotenone,3,11.0147058823529,parental,68,Ore_Ore,Ore,Ore
375,1,Rotenone,3,11.3039215686275,parental,51,375_375,375,375
375,3,Rotenone,3,11.7307692307692,parental,52,375_375,375,375
