"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0298140988437878
"F","375","Control",0.0356540389931267
"F","375","Control",0.0435481860334518
"F","375","Control",0.0379846411552265
"F","375","Control",0.0325778770264109
"F","375","Control",0.0385325897845013
"F","375","Control",0.0400196925736626
"F","375","Control",0.0352627008687202
"F","375","Control",0.0328693062689941
"F","375","Control",0.0344217374019617
"F","375","Control",0.0358526567677812
"F","375","Control",0.0403221194279948
"F","375","Control",0.0452182088019156
"F","375","Control",0.0342592895632242
"F","375","Control",0.0308556907193374
"F","375","Control",0.0331306284149113
"F","375","Control",0.0368605418303537
"F","375","Control",0.0331339950303727
"F","375","Control",0.0338351360066066
"F","375","Control",0.0385579252549741
"F","375","Control",0.0305062364794797
"F","375","Control",0.0346097690006152
"F","375","Control",0.0302293126291184
"F","375","Control",0.0279642454650311
"F","375","Control",0.0379662853963093
"F","375","Control",0.0335151236410662
"F","375","Control",0.028191900229227
"F","375","Control",0.0325707552387464
"F","375","Control",0.0321675963102853
"F","375","Control",0.0328592022967073
"F","375","Control",0.034474189052345
"F","375","Control",0.0339465709571083
"F","375","Control",0.0394363448167286
"F","375","Control",0.0329532744876023
"F","375","Control",0.0331251371276795
"F","375","Control",0.0353962692551702
"F","375","Control",0.0392278487801757
"F","375","Control",0.0319126923181534
"F","375","Control",0.0311171812926046
"F","375","Control",0.0349605791302307
"F","375","Control",0.0382422906808519
"F","375","Control",0.0383477667568883
"F","375","Control",0.0339794385635237
"F","375","Control",0.0337333117140154
"F","375","Control",0.0368267989738411
"F","375","Control",0.0390330037991501
"F","375","Control",0.0371329089091039
"F","375","Control",0.0349541720900471
"F","375","Control",0.0304350720365868
"F","375","Control",0.036428382981255
"F","375","Control",0.0311930303008196
"F","375","Control",0.0359010298646872
"F","375","Control",0.0386547331926362
"F","375","Control",0.031033743191235
"F","375","Control",0.0310094692421743
"F","375","Control",0.0398828090126958
"F","375","Control",0.0326707021499925
"F","375","Control",0.032202364395301
"F","375","Control",0.0407184185905994
"F","375","Control",0.0263789934552528
"F","375","Control",0.0317397566572186
"F","375","Control",0.0401002949647063
"F","375","Control",0.0371170667831139
"F","375","Control",0.0355469280688478
"F","375","Control",0.0358461961954586
"F","375","Control",0.0396299607182674
"F","375","Control",0.0375986537797909
"F","375","Control",0.0399756231907222
"F","375","Control",0.0336958876807225
"F","375","Control",0.0307584199688118
"F","375","Control",0.0402695926889913
"F","375","Control",0.0470113135469906
"F","375","Control",0.0387587160842612
"F","375","Control",0.029467877353777
"F","375","Control",0.0339179491046631
"F","375","Control",0.0314414802375532
"F","375","Control",0.0405130825902744
"F","375","Control",0.0362024792192154
"F","375","Control",0.0252458366431508
"F","375","Control",0.0307914422166193
"F","375","Control",0.0367521900891357
"F","375","Control",0.0416532440636084
"F","375","Control",0.038333333422735
"F","375","Control",0.0363115848030908
"F","375","Control",0.0340508497427851
"F","375","Control",0.0352363904740848
"F","375","Control",0.0392885533975012
"F","375","Control",0.0320745357873675
"F","375","Control",0.0373578767157161
"F","375","Control",0.0251206317662106
"F","375","Control",0.0275588499524037
"F","375","Control",0.0339414329593161
"F","375","Control",0.0307697250143386
"F","375","Control",0.0337996489860097
"F","375","Control",0.0366201948445827
"F","375","Control",0.0415544350214606
"F","375","Control",0.0394300025840774
"F","375","Control",0.036482512005201
"F","375","Control",0.0308424170231465
"F","375","Control",0.0426212349537451
"F","375","Control",0.0286415193027621
"F","375","Control",0.0314338490160807
"F","375","Control",0.0326970198448243
"F","375","Control",0.0279469847900766
"F","375","Control",0.0313745925574054
"F","375","Control",0.0274812069523716
"F","375","Control",0.0277072108031848
"F","375","Control",0.0343191571028986
"F","375","Control",0.028973358212471
"F","375","Control",0.0330665665756625
"F","375","Control",0.0354552538404634
"F","375","Control",0.0423765686583451
"F","375","Control",0.0370152353736088
"F","375","Control",0.0339529245914632
"F","375","Control",0.0297565980207024
"F","375","Control",0.0387196114578685
"F","375","Control",0.0382957275261682
"F","375","Control",0.0298469547073764
"F","375","Control",0.0427655434015455
"F","375","Control",0.0373105151069269
"F","375","Control",0.0356452507485608
"F","375","Control",0.0370520761199658
"F","375","Control",0.0301623899501915
"F","375","Control",0.0365939286945602
"F","375","Control",0.0385220468810551
"F","375","Control",0.039219931145233
"F","375","Control",0.0326967510112607
"F","375","Control",0.0340926328053195
"F","375","Control",0.0322545660145564
"F","375","Control",0.0394690308075594
"F","375","Control",0.0352662674520056
"F","375","Control",0.0358309125034709
"F","375","Control",0.0368970695328552
"F","375","Control",0.0387948504499234
"F","375","Control",0.0342282466726919
