"Mito","Nuc","Treatment","dev","weight_M","climb_M","flight_M","Mito_orig"
"ZH23","Ore","Control",11.2510961856264,0.68963247863248,2.29084166666667,0.783378500451671,"Zim"
"ZH23","Ore","Rotenone",11.6754340013253,0.691508058608056,2.14452222222222,0.795071225071225,"Zim"
"ZH26","375","Control",10.4911477733268,0.818450183150182,3.87787222222222,0.835243941732097,"Zim"
"ZH26","375","Rotenone",10.8803727547456,0.802497028897031,3.52294444444444,0.842308643951854,"Zim"
"ZH26","Ore","Control",10.7469599656485,0.961619047619048,2.05773962264151,0.809046487674029,"Zim"
"ZH26","Ore","Rotenone",10.8346826411588,0.741527625152621,2.951375,0.795401364028135,"Zim"
"ZH33","375","Control",11.0567336902102,0.671355463659149,3.16970972222222,0.857050427417457,"Zim"
"ZH33","375","Rotenone",11.4854661296825,0.712209614723081,3.24201111111111,0.865632455139508,"Zim"
"ZH33","Ore","Control",10.6921642087354,0.765715254557964,2.5754375,0.806490331674228,"Zim"
"ZH33","Ore","Rotenone",10.9990892950462,0.740870877192979,2.04993611111111,0.822798352957505,"Zim"
"ZH42","375","Control",11.0944328927927,0.721773892773891,3.30274166666667,0.857164439072942,"Zim"
"ZH42","375","Rotenone",11.3006473716744,0.666664957264961,3.60506944444444,0.827257335466534,"Zim"
"ZH42","Ore","Control",10.857233855239,0.732485185185186,1.89188888888889,0.825156813429896,"Zim"
"ZH42","Ore","Rotenone",10.9929929701686,0.744923076923079,2.34691111111111,0.803555595629894,"Zim"
"ZW09","375","Control",11.129523730146,0.772676942355887,3.12621388888889,0.85425571857671,"Zim"
"ZW09","375","Rotenone",11.4865619024723,0.829480392156859,3.26598333333333,0.852433764633395,"Zim"
"ZW09","Ore","Control",10.4655904047311,0.799950285063519,2.51311333333333,0.756207542060586,"Zim"
"ZW09","Ore","Rotenone",11.0015433082923,0.802642901773153,2.96513717948718,0.789813103306634,"Zim"
"ZW133","375","Control",11.0981054774381,0.693274153131225,3.23644215686275,0.875824186469858,"Zim"
"ZW133","375","Rotenone",11.4295599958696,0.68933893103073,3.16434888888889,0.656006958016458,"Zim"
"ZW133","Ore","Control",10.5369188555451,1.04832418042656,2.89202916666667,0.840319246669729,"Zim"
"ZW133","Ore","Rotenone",11.0526995230582,0.814212215724495,1.90560138888889,0.788386088085194,"Zim"
"ZW140","375","Control",11.4066948629083,0.763012698412703,3.51739166666667,0.831230745532964,"Zim"
"ZW140","375","Rotenone",11.478992983955,0.883684210526319,3.11596111111111,0.864385537444687,"Zim"
"ZW140","Ore","Control",10.5364583333333,0.852209064327488,2.87398333333333,0.809681942762445,"Zim"
"ZW140","Ore","Rotenone",10.7961270229539,0.863734523809522,2.91766111111111,0.799429672812298,"Zim"
"ZW142","375","Control",10.7372638373733,0.651072263993317,3.10971805555556,0.862429617117117,"Zim"
"ZW142","375","Rotenone",10.8289011047704,0.727826173890611,2.975275,0.858577866673418,"Zim"
"ZW142","Ore","Control",10.7131418477539,0.789641633986927,2.84651111111111,0.791438356164384,"Zim"
"ZW142","Ore","Rotenone",10.979438891401,0.717027360066834,1.60150694444444,0.790156108097494,"Zim"
"ZW144","375","Control",11.3433892351977,0.856183528265106,3.62180555555556,0.891284891617696,"Zim"
"ZW144","375","Rotenone",11.2204260598327,0.727650000000002,3.48154615384615,0.856029319882355,"Zim"
"ZW144","Ore","Control",10.8051909384187,0.626436842105263,2.75564444444444,0.81320256294964,"Zim"
"ZW144","Ore","Rotenone",11.025543449712,1.32252671568627,1.50610555555556,0.815411786795597,"Zim"
"Zim53","375","Control",11.6577619842522,0.68468956043956,3.55318333333333,0.876406752411576,"Zim"
"Zim53","375","Rotenone",11.3988013350937,0.731369963369965,3.85958333333333,0.870502942425529,"Zim"
"Zim53","Ore","Control",10.5673102606613,0.724935897435898,1.36636944444444,0.814570680004764,"Zim"
"Zim53","Ore","Rotenone",10.6797506523762,0.793333943833949,1.68778888888889,0.841041023759684,"Zim"
"siI","375","Control",11.1761062987623,0.760106622133071,3.36276262626263,0.844220686590768,"siI"
"siI","375","Rotenone",11.4549793696484,0.697032086288694,3.29186481481481,0.861218036988824,"siI"
"siI","Ore","Control",10.6167547445044,0.809296403491825,2.35462962962963,0.77509755477983,"siI"
"siI","Ore","Rotenone",11.0425264364184,0.806395455192833,2.27541018518519,0.795403930313794,"siI"
"yak","375","Control",11.3582541371526,0.708823526356683,3.16149861111111,0.847121876132672,"yak"
"yak","375","Rotenone",11.6726557604024,0.744542617524262,3.16704490740741,0.856537881373041,"yak"
"yak","Ore","Control",10.5900352900948,0.832302036022979,2.44026081081081,0.805233965686865,"yak"
"yak","Ore","Rotenone",11.0885124100831,0.907702597633571,2.78462638888889,0.80746730624071,"yak"
