"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0694405146448293
"F","375","Control",0.070345296671838
"F","375","Control",0.0663135083096396
"F","375","Control",0.0813544523216791
"F","375","Control",0.0747115137808665
"F","375","Control",0.0878551398036798
"F","375","Control",0.0783538767839296
"F","375","Control",0.0860440715352204
"F","375","Control",0.0759563589339947
"F","375","Control",0.0792544663214601
"F","375","Control",0.0697452837847491
"F","375","Control",0.0771174468710299
"F","375","Control",0.0722394932470986
"F","375","Control",0.0766775770928675
"F","375","Control",0.0682699227814401
"F","375","Control",0.0695631972931927
"F","375","Control",0.062780687545587
"F","375","Control",0.057060743124917
"F","375","Control",0.0850882816063492
"F","375","Control",0.0730295229651688
"F","375","Control",0.0819520591907
"F","375","Control",0.0718861303317094
"F","375","Control",0.0969918921367274
"F","375","Control",0.0808455382687935
"F","375","Control",0.0635503780060023
"F","375","Control",0.0892162180354998
"F","375","Control",0.0853950744673667
"F","375","Control",0.0871741876288023
"F","375","Control",0.0782395912909866
"F","375","Control",0.0695666247412249
"F","375","Control",0.0763959823637809
"F","375","Control",0.0819326108708395
"F","375","Control",0.076739749711684
"F","375","Control",0.0619461239345292
"F","375","Control",0.0809268699725915
"F","375","Control",0.0607321446920401
"F","375","Control",0.0531971952734205
"F","375","Control",0.0792546367647175
"F","375","Control",0.0826484396313007
"F","375","Control",0.0839757307403076
"F","375","Control",0.0757847806032845
"F","375","Control",0.0541802526607181
"F","375","Control",0.0762823910206603
"F","375","Control",0.0823003066268783
"F","375","Control",0.072713022868206
"F","375","Control",0.0776891549372271
"F","375","Control",0.0781680474085644
"F","375","Control",0.0939501835834595
"F","375","Control",0.0796155407195641
"F","375","Control",0.0751403562940975
"F","375","Control",0.0988045306696758
"F","375","Control",0.0825902265676152
"F","375","Control",0.0730355373793422
"F","375","Control",0.0617052520874025
"F","375","Control",0.0605928151378094
"F","375","Control",0.0769213637742034
"F","375","Control",0.0862557595789369
"F","375","Control",0.0765246131437498
"F","375","Control",0.0649676105575945
"F","375","Control",0.0906607078674137
"F","375","Control",0.0713403225312861
"F","375","Control",0.0713161672645529
"F","375","Control",0.0839649985638875
"F","375","Control",0.0689255846012704
"F","375","Control",0.0860614160289798
"F","375","Control",0.0705773235109882
"F","375","Control",0.0789125711923371
"F","375","Control",0.0648928519807146
"F","375","Control",0.0758110135766343
"F","375","Control",0.0752532788034988
"F","375","Control",0.0677825565462324
"F","375","Control",0.0544659912804773
"F","375","Control",0.0475364045014288
"F","375","Control",0.0890622480608384
"F","375","Control",0.0918231139863198
"F","375","Control",0.0877252950087711
"F","375","Control",0.0899920070878204
"F","375","Control",0.0772995727211122
"F","375","Control",0.0883730396545919
"F","375","Control",0.0678673564978095
"F","375","Control",0.0783546937089998
"F","375","Control",0.0866888995277761
"F","375","Control",0.0583559637526649
"F","375","Control",0.0788092773925045
"F","375","Control",0.0784477328549289
"F","375","Control",0.0440703965242232
"F","375","Control",0.0613746962126417
"F","375","Control",0.0647789232303844
"F","375","Control",0.0778860677133974
"F","375","Control",0.06323566904033
"F","375","Control",0.0887823975944902
"F","375","Control",0.0654801336406164
"F","375","Control",0.0761634044053673
"F","375","Control",0.0731643938779634
"F","375","Control",0.0701684504495726
"F","375","Control",0.0676224424442685
"F","375","Control",0.0818481050045277
"F","375","Control",0.0813140145316815
"F","375","Control",0.0686864195283296
"F","375","Control",0.072819418224282
"F","375","Control",0.068314257774807
"F","375","Control",0.0662939650019382
"F","375","Control",0.0772061777599352
"F","375","Control",0.0728584169725326
"F","375","Control",0.0721119486397211
"F","375","Control",0.0746147259027882
"F","375","Control",0.0822568270459279
"F","375","Control",0.0689096839134146
"F","375","Control",0.0686959366494493
"F","375","Control",0.0874717409664554
"F","375","Control",0.0700290346398284
"F","375","Control",0.0750602769859915
"F","375","Control",0.0646270334319236
"F","375","Control",0.0788928441686536
"F","375","Control",0.0558125099112711
"F","375","Control",0.0763089669396149
"F","375","Control",0.0692890785406985
"F","375","Control",0.0850476719632707
"F","375","Control",0.0704237681092901
"F","375","Control",0.0722090550174679
"F","375","Control",0.0762783838589495
"F","375","Control",0.0800804407423106
"F","375","Control",0.08008304164795
"F","375","Control",0.0659584225306471
"F","375","Control",0.0769711274014721
"F","375","Control",0.0898466172432263
"F","375","Control",0.0645692596545958
"F","375","Control",0.0760857008130663
"F","375","Control",0.0596183632157039
"F","375","Control",0.068064938592046
"F","375","Control",0.0857737196720472
"F","375","Control",0.0901770033879911
"F","375","Control",0.0854995827914074
"F","375","Control",0.0907291960679204
"F","375","Control",0.0716246475094679
"F","375","Control",0.0649081027728817
"F","375","Control",0.0769105098288747
"F","375","Control",0.05532195940706
"F","375","Control",0.0719144176770718
"F","375","Control",0.0848497935054964
"F","375","Control",0.0708159399040775
"F","375","Control",0.0717889155372219
"F","375","Control",0.0729531680178273
"F","375","Control",0.0855411363962244
"F","375","Control",0.0707439115409541
"F","375","Control",0.0569339807559369
"F","375","Control",0.0853664827667637
"F","375","Control",0.0667482189711987
"F","375","Control",0.082578898499182
"F","375","Control",0.0765971113468494
"F","375","Control",0.0884104800792524
"F","375","Control",0.0864318853034142
