"Mito","Nuc","Build","Set","Treatment","Sex","Y_adj","Larval_density"
"ZW133","Ore","B",2,"Control","M",0.00073248425537917,1.33441600413677
"ZW09","Ore","A",3,"Control","M",0.000809574316148287,0.68140391700601
"ZW09","Ore","A",3,"Rotenone","M",0.00077984217312959,0.850560770156439
"ZW09","Ore","B",5,"Rotenone","M",0.00084544373617114,0.410782190132371
"ZW09","Ore","B",4,"Rotenone","M",0.000755964868742273,0.164312876052948
"ZW09","Ore","B",5,"Control","M",0.000745318051769968,0.653012087130761
"ZW09","Ore","B",4,"Control","M",0.000776895585810006,0.194686833430289
"ZW09","Ore","B",3,"Control","M",0.000814414267128675,0.166295003555039
"ZW09","Ore","B",3,"Rotenone","M",0.000810253421839615,0.265800240673887
"ZH42","Ore","A",4,"Rotenone","M",0.000698623843101254,1.38699398315283
"ZH42","Ore","A",4,"Control","M",0.000618315451129876,0.851754896257513
"ZH42","Ore","B",4,"Control","M",0.000804233969648384,0.665180014220154
"ZH42","Ore","B",4,"Rotenone","M",0.000769085381562785,1.20335018050542
"ZH33","Ore","A",9,"Control","M",0.00063650687770295,1.43987137224485
"ZH33","Ore","A",9,"Rotenone","M",0.000718312702882677,1.25651022864019
"ZH33","Ore","A",2,"Control","M",0.000692680746607239,1.29385624717213
"ZH33","Ore","A",2,"Rotenone","M",0.00083641489050413,1.61413237063778
"ZH33","Ore","B",9,"Control","M",0.000697060176800367,1.09105746234891
"ZH33","Ore","B",9,"Rotenone","M",0.000762609778906069,0.768404332129965
"ZH33","Ore","B",2,"Control","M",0.00065572886690799,1.36686380970848
"ZH33","Ore","B",2,"Rotenone","M",0.000530314890504126,1.63346329723225
"ZH26","Ore","A",6,"Control","M",0.000828674151688568,1.0464417296878
"ZH26","Ore","A",6,"Rotenone","M",0.000708422707200114,0.932717208182912
"ZH26","Ore","B",5,"Rotenone","M",0.000940341643819037,0.831229843561973
"ZH26","Ore","B",5,"Control","M",0.000779937099389014,0.969378191454982
"ZH23","Ore","A",6,"Rotenone","M",0.000762643097920506,0.937549939831529
"ZH23","Ore","A",6,"Control","M",0.000735785262799682,1.33847197983324
"ZH23","Ore","B",6,"Control","M",0.000746161331175747,1.07888953525952
"ZH23","Ore","B",6,"Rotenone","M",0.000773893647371046,0.758738868832731
"Ore","Ore","parental",5,"Control","M",0.000792887648839564,1.25735246590395
"Ore","Ore","parental",5,"Rotenone","M",0.000860674061401468,1.05353549939831
"Ore","Ore","parental",7,"Control","M",0.00082990826479768,0.539444767629759
"Ore","Ore","parental",4,"Rotenone","M",0.000814081108058516,0.439778580024067
"Ore","Ore","parental",7,"Rotenone","M",0.000804143388833296,0.463942238267148
"Ore","Ore","parental",4,"Control","M",0.000852278414092834,0.429933423825221
"Ore","Ore","parental",2,"Rotenone","M",0.000733131557170809,1.78811070998797
"Ore","Ore","parental",2,"Control","M",0.000667250062052712,1.8211330877125
"Ore","Ore","parental",6,"Control","M",0.000781840818355235,1.32224807704738
"Ore","Ore","parental",6,"Rotenone","M",0.000795209808987215,1.2275138387485
