"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"siI","375","M","A","Rotenone",3.23620588882592,"B",3.22790308211295
"siI","Ore","F","A","Control",1.93417366582492,"B",2.30532086489899
"siI","Ore","F","A","Rotenone",1.78229374499529,"B",1.86706602508788
"siI","Ore","M","A","Control",2.16409185602844,"B",3.17211581497094
"siI","Ore","M","A","Rotenone",2.10803644438147,"B",2.43487808211295
"yak","375","F","A","Control",3.17302088804714,"B",2.99974169823232
"yak","375","F","A","Rotenone",2.88951249499529,"B",2.45990213619899
"yak","375","M","A","Control",3.30966963380622,"B",3.30156720385982
"yak","375","M","A","Rotenone",3.24965588882592,"B",2.82654335989073
"yak","Ore","F","A","Control",1.79624797138047,"B",1.71008475378788
"yak","Ore","F","A","Rotenone",1.97681249499529,"B",1.62242852508788
"yak","Ore","M","A","Control",2.71873170400602,"B",2.30306581497094
"yak","Ore","M","A","Rotenone",2.80201422215925,"B",2.57457113766851
