"dataset","term","n_mito_label","n","min","q1","median","q3","max","whisker_lower","whisker_upper","n_outliers","prop_sig"
"weightF","Mito:Treatment","k = 20",1000,0.610088114143828,1.24293828912413,1.40874934909582,1.54771205855426,1.86271294256787,0.793865595859545,1.86271294256787,5,0
"weightF","Nuc:Treatment","k = 5",1000,0.000273511616091298,0.169210141357059,0.423779040161101,0.931085581871234,4.04244927062189,0.000273511616091298,2.06387790299059,35,0.047
"weightF","Nuc:Treatment","k = 10",1000,0.000837651807159995,0.146016139743788,0.352338700095772,0.717267348951249,3.40674992810831,0.000837651807159995,1.57222163273353,33,0.011
"weightF","Nuc:Treatment","k = 15",979,0.000536173048493219,0.131500475520956,0.302138953005968,0.635967353664632,2.31261864292213,0.000536173048493219,1.38014814525874,26,0.00510725229826353
"weightF","Nuc:Treatment","k = 20",1000,0.000114123310950861,0.139508446323004,0.282284892930497,0.427623436227561,1.07590844231409,0.000114123310950861,0.84104261976429,32,0
"weightM","Mito:Nuc","k = 5",958,0.000215983599281294,0.310250280373419,0.745540466175592,1.10637846068053,8.14778801510999,0.000215983599281294,2.28861797807527,51,0.0762004175365344
"weightM","Mito:Nuc","k = 10",812,0.00748362949302399,0.574367918885739,1.02076674084626,1.32960439747993,6.46691088489388,0.00748362949302399,2.43320760106926,57,0.112068965517241
"weightM","Mito:Nuc","k = 15",553,0.0166911824470384,0.848201024947254,1.12438940815085,1.44251591661942,5.48299724267433,0.0166911824470384,2.31993595801749,51,0.157323688969259
"weightM","Mito:Nuc","k = 20",177,0.473515467506257,1.03632196628544,1.27220309119839,1.52594257993247,2.32867255469384,0.473515467506257,2.21854323514354,8,0.0677966101694915
"weightM","Mito:Nuc:Treatment","k = 5",958,0.00267386724125298,0.168149602365728,0.364575994887173,0.7227161561861,5.51346994741048,0.00267386724125298,1.54700628907934,47,0.0292275574112735
"weightM","Mito:Nuc:Treatment","k = 10",812,0.00444761420463524,0.141720187728789,0.262091913149939,0.424988145850031,2.63639846661992,0.00444761420463524,0.84537747990575,54,0.00246305418719212
"weightM","Mito:Nuc:Treatment","k = 15",553,0.00671257802722626,0.124226580730989,0.193340897334791,0.297184475117917,0.811268205200112,0.00671257802722626,0.551580596362828,20,0
"weightM","Mito:Nuc:Treatment","k = 20",177,0.0458438060153615,0.119427988492733,0.189780164253986,0.246089074284438,0.35403521773717,0.0458438060153615,0.35403521773717,0,0
"weightM","Mito:Treatment","k = 5",958,0.00386271282504226,0.387352930262987,0.866034876090899,2.18651405186033,19.1022821718484,0.00386271282504226,4.81953343440597,151,0.279749478079332
"weightM","Mito:Treatment","k = 10",812,0.0507242327768928,0.721362627561048,1.49739266808102,5.28105573192786,20.1774475638324,0.0507242327768928,11.9961980142243,4,0.394088669950739
"weightM","Mito:Treatment","k = 15",553,0.0867298037158993,1.11538892804534,1.65445003401844,5.64980392349925,11.5727322764928,0.0867298037158993,11.5727322764928,0,0.44122965641953
"weightM","Mito:Treatment","k = 20",177,0.672256002748348,1.25004741813948,5.41912291632497,5.67104987076785,6.84643091711417,0.672256002748348,6.84643091711417,0,0.542372881355932
"weightM","Nuc:Treatment","k = 5",958,0.000278653617212706,0.124777250191308,0.282627160915149,0.576328526380226,6.08494062089067,0.000278653617212706,1.23862868096281,50,0.0187891440501044
"weightM","Nuc:Treatment","k = 10",812,8.08476974374097e-05,0.0864787862175874,0.181395572718301,0.367624098263246,1.98080794022448,8.08476974374097e-05,0.784921610492501,30,0.00123152709359606
"weightM","Nuc:Treatment","k = 15",553,0.000541270500017975,0.0541351226933457,0.126686020206825,0.238459092035084,1.08268401168646,0.000541270500017975,0.51095792254718,19,0
"weightM","Nuc:Treatment","k = 20",177,0.00509794641559843,0.0287965355225907,0.062622711845268,0.128635331781486,0.238119283868548,0.00509794641559843,0.238119283868548,0,0
"dev","Mito:Nuc","k = 5",1000,0.000979540670415363,0.224819074235993,0.501236001193143,0.924736098454943,10.9726500554143,0.000979540670415363,1.96729443784973,57,0.063
"dev","Mito:Nuc","k = 10",1000,0.0179998850718039,0.372079329322452,0.680115267703768,1.13759685151052,8.14540988800167,0.0179998850718039,2.25604296559046,17,0.05
"dev","Mito:Nuc","k = 15",1000,0.0377673390986341,0.517560918080485,0.865348778493216,1.18205402782553,2.88663215482637,0.0377673390986341,2.13560621944089,5,0.015
"dev","Mito:Nuc","k = 20",1000,0.294534841813771,0.841578086909436,0.999560830075121,1.15339796810925,1.64992975053755,0.399023330999873,1.58824641646971,28,0
"dev","Mito:Nuc:Treatment","k = 5",1000,0.00221571744388025,0.122526266459513,0.245602368482836,0.418728064128339,1.32619870877722,0.00221571744388025,0.857790694760408,43,0
"dev","Mito:Nuc:Treatment","k = 10",1000,0.000270538681800143,0.0808319028451076,0.153648804952603,0.270427885882341,0.871349729613252,0.000270538681800143,0.548470236167327,28,0
"dev","Mito:Nuc:Treatment","k = 15",1000,0.00432387037125991,0.0670867195851017,0.112523671592816,0.186181507844633,0.647042970506025,0.00432387037125991,0.362369901186963,19,0
"dev","Mito:Nuc:Treatment","k = 20",1000,0.0159652564346588,0.069942639826803,0.093632089145914,0.111344451021518,0.219285813460894,0.0159652564346588,0.170120551675906,42,0
"dev","Mito:Treatment","k = 5",1000,0.00101714033810193,0.453484644662703,0.9007971629181,1.42106563429445,5.25840592734473,0.00101714033810193,2.83384649576229,30,0.113
"dev","Mito:Treatment","k = 10",1000,0.0648296019765928,0.825470558618662,1.22344635639449,1.67661200870545,3.7019071212445,0.0648296019765928,2.9466223044017,11,0.165
"dev","Mito:Treatment","k = 15",1000,0.158100774041997,1.20737817584221,1.53506368167657,1.92932665004244,3.37996894672029,0.158100774041997,2.99731425096268,6,0.264
"dev","Mito:Treatment","k = 20",1000,0.913108546013072,1.60127183116673,1.8233021745448,2.0364650948682,2.53113331323269,1.02198942776365,2.53113331323269,2,0.429
"dev","Nuc:Treatment","k = 5",1000,0.000964639564131107,0.284990853290306,0.600584090064719,1.0459807862414,2.99556861546748,0.000964639564131107,2.17782944558264,26,0.048
"dev","Nuc:Treatment","k = 10",1000,0.00592076010768452,0.562951260022681,0.986402995089016,1.38136205661811,2.992193643099,0.00592076010768452,2.58174050410645,12,0.092
"dev","Nuc:Treatment","k = 15",1000,0.168900625000029,0.922959520755002,1.21178441209969,1.57167765840528,3.22743857161387,0.168900625000029,2.54254134686567,11,0.114
"dev","Nuc:Treatment","k = 20",1000,0.91075873306881,1.32933195147594,1.53403157580243,1.70360938019152,2.28621268357059,0.91075873306881,2.24448727534268,3,0.114
