"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0904099870268684
"F","375","Control",0.0788268405080917
"F","375","Control",0.0797214238665321
"F","375","Control",0.0905579791906887
"F","375","Control",0.0845570808883553
"F","375","Control",0.0977574013706102
"F","375","Control",0.0961109242883074
"F","375","Control",0.0914655632485468
"F","375","Control",0.0792542816170033
"F","375","Control",0.0716841443113498
"F","375","Control",0.079526310317944
"F","375","Control",0.0914941311322436
"F","375","Control",0.0865219786199038
"F","375","Control",0.0811492619528346
"F","375","Control",0.0974750379423381
"F","375","Control",0.104710112682074
"F","375","Control",0.10092374877388
"F","375","Control",0.0869156926969607
"F","375","Control",0.0745648977869627
"F","375","Control",0.0809588586969116
"F","375","Control",0.081126328179653
"F","375","Control",0.0971147111638355
"F","375","Control",0.0907407600675574
"F","375","Control",0.0697262357389585
"F","375","Control",0.0666802055253931
"F","375","Control",0.0880451632992733
"F","375","Control",0.115973044225341
"F","375","Control",0.092284539603257
"F","375","Control",0.0838388619689187
"F","375","Control",0.0925561909704213
"F","375","Control",0.105977198614877
"F","375","Control",0.0841012975984479
"F","375","Control",0.105159849409428
"F","375","Control",0.0945765300845406
"F","375","Control",0.085953462911262
"F","375","Control",0.0975251017113738
"F","375","Control",0.0962675590958076
"F","375","Control",0.0819701861980863
"F","375","Control",0.109264038531369
"F","375","Control",0.101093158920256
"F","375","Control",0.0948772558567618
"F","375","Control",0.0720710316406909
"F","375","Control",0.0846397347846366
"F","375","Control",0.0762571833150306
"F","375","Control",0.0895785834631139
"F","375","Control",0.0921835457416658
"F","375","Control",0.0846353327186487
"F","375","Control",0.0748453126323254
"F","375","Control",0.0813428431175524
"F","375","Control",0.0809441478344278
"F","375","Control",0.0822443351094927
"F","375","Control",0.0958972705283827
"F","375","Control",0.0850697256649287
"F","375","Control",0.0966239357648475
"F","375","Control",0.0850589723827561
"F","375","Control",0.0834211812569019
"F","375","Control",0.106626355955238
"F","375","Control",0.0822146672272275
"F","375","Control",0.0986342046245351
"F","375","Control",0.0779135269610357
"F","375","Control",0.0934714198264416
"F","375","Control",0.0891376575062229
"F","375","Control",0.0963814124457517
"F","375","Control",0.0980997365498011
"F","375","Control",0.104618992993718
"F","375","Control",0.0875739540178896
"F","375","Control",0.0921081379879412
"F","375","Control",0.0781021489771646
"F","375","Control",0.0871651474192154
"F","375","Control",0.104748519603008
"F","375","Control",0.104703620698223
"F","375","Control",0.0989969914841861
"F","375","Control",0.134889321897651
"F","375","Control",0.0980919645373282
"F","375","Control",0.0777376926193862
"F","375","Control",0.0628980979846211
"F","375","Control",0.0762007063263035
"F","375","Control",0.0964665306882835
"F","375","Control",0.101757974142085
"F","375","Control",0.0835903368978899
"F","375","Control",0.0823207056549238
"F","375","Control",0.0996490793894995
"F","375","Control",0.0889118881775817
"F","375","Control",0.0867641670666719
"F","375","Control",0.0795651800300996
"F","375","Control",0.0844160698347096
"F","375","Control",0.0923712799244236
"F","375","Control",0.0687745433804529
"F","375","Control",0.0912656284418498
"F","375","Control",0.0845869911879649
"F","375","Control",0.0871765085691855
"F","375","Control",0.0749639848679515
"F","375","Control",0.0989430693089479
"F","375","Control",0.0952471270109488
"F","375","Control",0.0869770370043212
"F","375","Control",0.0871175002788368
"F","375","Control",0.0812207703114159
"F","375","Control",0.0946162427290779
"F","375","Control",0.0982598837256023
"F","375","Control",0.102252129869753
"F","375","Control",0.068976450522475
"F","375","Control",0.0758227570181935
"F","375","Control",0.0623893209504772
"F","375","Control",0.0832878988489346
"F","375","Control",0.0888205128943246
"F","375","Control",0.113203778823729
"F","375","Control",0.0846457279286568
"F","375","Control",0.0801535351549189
"F","375","Control",0.0946224244683736
"F","375","Control",0.114602678040609
"F","375","Control",0.0920952771584238
