"Mito","Nuc","Treatment","Sex","Y","se_value"
"Bei42","Ore","Control","M",0.784389471377044,0.0269217245103375
"Bei42","Ore","Rotenone","F",1.30643014933581,0.0354682295673442
"Bei42","Ore","Rotenone","M",0.80763726022344,0.0290112690917289
"Bei52","375","Control","F",1.09694254503669,0.0267280190030372
"Bei52","375","Control","M",0.754802373423831,0.0528345626628389
"Bei52","375","Rotenone","F",1.03820776371489,0.0267204022865772
"Bei52","375","Rotenone","M",0.702804936991113,0.0168809028832842
"Bei52","Ore","Control","F",1.22398325016489,0.0670912926945575
"Bei52","Ore","Control","M",0.824239375353792,0.0098778805863276
"Bei52","Ore","Rotenone","F",1.1625674509231,0.069237805182877
"Bei52","Ore","Rotenone","M",0.811851208920943,0.0187076322561447
"Bei54","375","Control","F",1.16790010430318,0.0664305722362732
"Bei54","375","Control","M",0.856848035489164,0.0293110875745713
"Bei54","375","Rotenone","F",1.16332570693151,0.00557093951618567
"Bei54","375","Rotenone","M",0.280907555140843,NA
"Bei54","Ore","Control","F",1.22071199141847,0.071385502931214
"Bei54","Ore","Control","M",0.798204725518978,0.082693696682182
"Bei54","Ore","Rotenone","F",1.33036990396255,0.0251223755665964
"Bei54","Ore","Rotenone","M",0.390907555140842,NA
"Bei59","375","Control","F",1.15803035902781,0.0427569444250919
"Bei59","375","Control","M",0.625053116686848,0.0203451655770526
"Bei59","375","Rotenone","F",1.05849827143099,0.0516580649072966
"Bei59","375","Rotenone","M",0.574284544240988,0.0821269703957297
"Bei59","Ore","Control","F",1.27980874869742,0.0421044761884948
"Bei59","Ore","Control","M",0.726246544987993,0.0320362529858336
"Bei59","Ore","Rotenone","F",1.254726306101,0.0454407739320153
"Bei59","Ore","Rotenone","M",0.764437974394794,0.0181214580183294
"Ore","Ore","Control","F",1.28973250685826,0.0193208215585454
"Ore","Ore","Control","M",0.802471489324299,0.0189046189082772
"Ore","Ore","Rotenone","F",1.21829038230201,0.0436412891505014
"Ore","Ore","Rotenone","M",0.839118630773445,0.0211792235218034
"ZH23","375","Control","F",1.19901357838356,0.00662754100827274
"ZH23","375","Control","M",0.706475045239458,0.00911620327286096
"ZH23","375","Rotenone","F",1.0991954723656,0.0471379715546485
"ZH23","375","Rotenone","M",0.686840900118307,0.0213805301827172
"ZH23","Ore","Control","F",1.16659186121185,0.0187547352113449
"ZH23","Ore","Control","M",0.740973296987714,0.0127169215132918
"ZH23","Ore","Rotenone","F",1.22561649208662,0.0133016418636516
"ZH23","Ore","Rotenone","M",0.768268372645776,0.0093498677026436
"ZH26","375","Control","F",1.33423978088476,0.0249963380125443
"ZH26","375","Control","M",0.828530139682056,0.025006472507185
"ZH26","375","Rotenone","F",1.34183161215174,0.0369946259963251
"ZH26","375","Rotenone","M",0.891445815573221,0.0184055118714327
"ZH26","Ore","Control","F",1.26050446296195,0.0159096746058692
"ZH26","Ore","Control","M",0.809179330768746,0.0185420647759058
"ZH26","Ore","Rotenone","F",1.28361029550543,0.0573871424454333
