"Mito","Nuc","Treatment","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"ZW140","375","Control",-1.11551245947199,0.25138670341358,-0.667068120345015,1.01876910805246,-1.52885148994193,0.0841855996247986,0.263768977013587
"ZW140","375","Rotenone",-1.08433374655098,1.22217626767401,0.0841809017524443,0.463208404455402,-1.98051742953543,0.380556924513413,0.431138169056509
"ZW140","Ore","Control",2.15064669841893,0.943465867102533,-0.954949911616329,0.724797965601102,-0.116774621837813,-0.458236122358387,-0.229046437494978
"ZW140","Ore","Rotenone",1.64348378905683,0.638575549270046,-0.578267477601971,0.864473941487171,-0.527354946951117,0.0155780408707518,-0.250970345897201
"ZW142","375","Control",-1.27514335478209,0.523296040930336,-1.02251487213861,-0.535023451008963,0.849950593350826,-0.0684557098423389,0.19413167574911
"ZW142","375","Rotenone",-1.03472804550196,0.611148355161922,-0.60106597780535,-0.263212125328132,0.57772636355135,-0.182053157425568,0.614449232974165
"ZW142","Ore","Control",0.862645068532601,-0.285657641074063,-0.121666386572699,0.309717910600546,1.01840853994681,-0.0670154050766456,-0.215951181169976
"ZW142","Ore","Rotenone",2.21486897946819,-0.794799602503404,0.00792121060255599,-1.19527213240786,-0.208429510530506,0.499830275399012,0.294219733351485
"ZW144","375","Control",-2.5316682490035,1.11330969531154,0.510163267560466,0.145256918611149,-0.443050216293723,-0.16931124258998,-0.140387317134323
"ZW144","375","Rotenone",-2.20666030207319,-0.0769773262454915,0.132581365357413,-0.0288966406938214,0.422832270592755,-0.220079365318547,-0.0771083980744672
"ZW144","Ore","Control",-0.368119278971746,-0.980062669229409,-0.357965275556137,-0.631093591640007,1.53402990255808,-0.238688285708912,0.120867333422582
"ZW144","Ore","Rotenone",2.83003576499422,1.75735704086067,3.18876395523992,-0.0848865680096465,-0.401009134222075,0.739190206323851,0.165943876049717
"Zim53","375","Control",-3.20490569664973,-0.192801363718037,0.219948365570445,-0.293193357956568,-0.734703648677176,0.0416751379077527,-0.0262973240127766
"Zim53","375","Rotenone",-2.6276907436595,0.538218886557633,-0.462981961076427,0.516012113885448,-0.861326636017972,-0.0582844783540184,-0.0908654756700711
"Zim53","Ore","Control",3.17747201311918,0.702779511941471,-1.12569992518343,-1.42632862900988,-0.641084096084996,0.829271923999008,0.388234483102186
"Zim53","Ore","Rotenone",1.91846056636337,0.70972347184084,-0.0950424848718809,-1.4832397876578,0.120831226894003,0.251575748648309,0.28030487102358
"siI","375","Control",-1.50096586791655,0.0214438033095757,0.0867080705818709,0.152566419046667,0.18600160491126,-0.145397797581232,-0.0991825561305476
"siI","375","Rotenone",-2.12338917720202,-0.254347929791884,0.164752699479492,-0.392491951015925,-0.401492617718315,-0.0505465138713487,-0.142431651780834
"siI","Ore","Control",2.19144970186289,-0.186488354503189,-0.424767129177509,0.349954388063268,0.561346047016617,-0.0157779369170844,0.35100266436362
"siI","Ore","Rotenone",1.69030380131226,-0.393188380781907,0.0756762792524052,-0.050879784532135,-0.441496021671921,-0.101531177822734,0.31538414226532
"yak","375","Control",-1.85809439082619,-0.391512228670705,0.226833757405589,-0.301084128518219,-0.0242365564573248,0.0364828822009375,0.0767409469710641
"yak","375","Rotenone",-2.13616254493003,-0.547356015607167,0.864135837796381,-0.43948313353623,-0.647879549848734,-0.0270169524050837,-0.147036506513517
"yak","Ore","Control",2.26888153239751,0.542464431186437,-0.570639194896671,0.119207902341618,0.109172527949939,-0.221650267586241,-0.0168778287263661
"yak","Ore","Rotenone",1.17886289548092,0.520337121176991,0.166567355212032,0.646342563083998,-0.952578569008111,0.193916285947477,-0.152809745452854
