Mito,Nuc,Sex,Rep,Slope,Build,Vial,Set,Treatment,Stock,Set_adj,Pos_adj,Y_adj
Bei23,Ore,F,1,0.4867,A,3,9,Control,24A,2.42008611111111,2.38444825581395,0.451062144702842
Bei23,Ore,F,1,0.6127,A,4,9,Control,24A,2.42008611111111,2.38444825581395,0.577062144702843
Bei23,Ore,F,1,0.5004,A,5,9,Control,24A,2.42008611111111,2.38444825581395,0.464762144702842
Bei23,Ore,F,1,0.7981,A,6,9,Control,24A,2.42008611111111,2.38444825581395,0.762462144702843
Bei23,Ore,F,2,0.6998,A,1,9,Control,24A,2.42008611111111,2.38444825581395,0.664162144702843
Bei23,Ore,F,2,0.9808,A,2,9,Control,24A,2.42008611111111,2.38444825581395,0.945162144702842
Bei23,Ore,F,2,0.1712,A,3,9,Control,24A,2.42008611111111,2.38444825581395,0.135562144702842
Bei23,Ore,F,2,0.266,A,4,9,Control,24A,2.42008611111111,2.38444825581395,0.230362144702843
Bei23,Ore,F,2,0.1121,A,5,9,Control,24A,2.42008611111111,2.38444825581395,0.0764621447028424
Bei23,Ore,F,2,0.6356,A,6,9,Control,24A,2.42008611111111,2.38444825581395,0.599962144702843
Bei23,Ore,F,3,1.292,A,1,9,Control,24A,2.42008611111111,2.38444825581395,1.25636214470284
Bei23,Ore,F,3,0.207,A,2,9,Control,24A,2.42008611111111,2.38444825581395,0.171362144702842
Bei23,Ore,F,3,0.3717,A,3,9,Control,24A,2.42008611111111,2.38444825581395,0.336062144702843
Bei23,Ore,F,3,0.2848,A,4,9,Control,24A,2.42008611111111,2.38444825581395,0.249162144702843
Bei23,Ore,F,3,0.4136,A,5,9,Control,24A,2.42008611111111,2.38444825581395,0.377962144702843
Bei23,Ore,F,3,0.8755,A,6,9,Control,24A,2.42008611111111,2.38444825581395,0.839862144702842
Bei23,Ore,M,1,3.0348,A,1,9,Control,24A,2.71747916666667,2.88793518219929,3.20525601553262
Bei23,Ore,M,1,3.0305,A,2,9,Control,24A,2.71747916666667,2.88793518219929,3.20095601553262
Bei23,Ore,M,1,2.1319,A,3,9,Control,24A,2.71747916666667,2.88793518219929,2.30235601553262
Bei23,Ore,M,1,2.6015,A,4,9,Control,24A,2.71747916666667,2.88793518219929,2.77195601553262
Bei23,Ore,M,1,2.9644,A,5,9,Control,24A,2.71747916666667,2.88793518219929,3.13485601553262
Bei23,Ore,M,1,3.1313,A,6,9,Control,24A,2.71747916666667,2.88793518219929,3.30175601553262
Bei23,Ore,M,2,2.7457,A,1,9,Control,24A,2.71747916666667,2.88793518219929,2.91615601553262
Bei23,Ore,M,2,2.8046,A,2,9,Control,24A,2.71747916666667,2.88793518219929,2.97505601553262
Bei23,Ore,M,2,2.1096,A,3,9,Control,24A,2.71747916666667,2.88793518219929,2.28005601553262
Bei23,Ore,M,2,1.6889,A,4,9,Control,24A,2.71747916666667,2.88793518219929,1.85935601553262
Bei23,Ore,M,2,3.9994,A,5,9,Control,24A,2.71747916666667,2.88793518219929,4.16985601553262
Bei23,Ore,M,2,4.2997,A,6,9,Control,24A,2.71747916666667,2.88793518219929,4.47015601553262
Bei23,Ore,M,3,3.6905,A,1,9,Control,24A,2.71747916666667,2.88793518219929,3.86095601553262
Bei23,Ore,M,3,2.3308,A,2,9,Control,24A,2.71747916666667,2.88793518219929,2.50125601553262
Bei23,Ore,M,3,2.9142,A,3,9,Control,24A,2.71747916666667,2.88793518219929,3.08465601553262
Bei23,Ore,M,3,1.0258,A,4,9,Control,24A,2.71747916666667,2.88793518219929,1.19625601553262
Bei23,Ore,M,3,3.2326,A,5,9,Control,24A,2.71747916666667,2.88793518219929,3.40305601553262
Bei23,Ore,M,3,3.5276,A,6,9,Control,24A,2.71747916666667,2.88793518219929,3.69805601553262
Bei23,Ore,F,1,1.1277,A,1,9,Rotenone,24A,2.54378333333333,2.28314493771958,0.867061604386245
Bei23,Ore,F,1,2.2198,A,2,9,Rotenone,24A,2.54378333333333,2.28314493771958,1.95916160438625
Bei23,Ore,F,1,2.4658,A,3,9,Rotenone,24A,2.54378333333333,2.28314493771958,2.20516160438625
Bei23,Ore,F,1,3.0245,A,4,9,Rotenone,24A,2.54378333333333,2.28314493771958,2.76386160438625
Bei23,Ore,F,1,2.1713,A,5,9,Rotenone,24A,2.54378333333333,2.28314493771958,1.91066160438625
Bei23,Ore,F,1,1.3306,A,6,9,Rotenone,24A,2.54378333333333,2.28314493771958,1.06996160438625
Bei23,Ore,F,2,0.416,A,1,9,Rotenone,24A,2.54378333333333,2.28314493771958,0.155361604386245
Bei23,Ore,F,2,1.1036,A,2,9,Rotenone,24A,2.54378333333333,2.28314493771958,0.842961604386245
Bei23,Ore,F,2,2.3938,A,3,9,Rotenone,24A,2.54378333333333,2.28314493771958,2.13316160438625
Bei23,Ore,F,2,2.911,A,4,9,Rotenone,24A,2.54378333333333,2.28314493771958,2.65036160438625
Bei23,Ore,F,2,1.8545,A,5,9,Rotenone,24A,2.54378333333333,2.28314493771958,1.59386160438625
Bei23,Ore,F,2,1.863,A,6,9,Rotenone,24A,2.54378333333333,2.28314493771958,1.60236160438625
Bei23,Ore,F,3,1.2177,A,1,9,Rotenone,24A,2.54378333333333,2.28314493771958,0.957061604386245
Bei23,Ore,F,3,2.0975,A,2,9,Rotenone,24A,2.54378333333333,2.28314493771958,1.83686160438625
Bei23,Ore,F,3,2.8291,A,3,9,Rotenone,24A,2.54378333333333,2.28314493771958,2.56846160438625
Bei23,Ore,F,3,1.3237,A,4,9,Rotenone,24A,2.54378333333333,2.28314493771958,1.06306160438625
Bei23,Ore,F,3,2.2909,A,5,9,Rotenone,24A,2.54378333333333,2.28314493771958,2.03026160438625
Bei23,Ore,F,3,0.698,A,6,9,Rotenone,24A,2.54378333333333,2.28314493771958,0.437361604386245
Bei23,Ore,M,1,2.6998,A,1,9,Rotenone,24A,2.86324861111111,2.80163090211132,2.63818229100021
Bei23,Ore,M,1,2.8514,A,2,9,Rotenone,24A,2.86324861111111,2.80163090211132,2.78978229100021
Bei23,Ore,M,1,1.6366,A,3,9,Rotenone,24A,2.86324861111111,2.80163090211132,1.57498229100021
Bei23,Ore,M,1,2.3945,A,4,9,Rotenone,24A,2.86324861111111,2.80163090211132,2.33288229100021
Bei23,Ore,M,1,3.1241,A,5,9,Rotenone,24A,2.86324861111111,2.80163090211132,3.06248229100021
Bei23,Ore,M,1,1.6225,A,6,9,Rotenone,24A,2.86324861111111,2.80163090211132,1.56088229100021
Bei23,Ore,M,2,3.4785,A,1,9,Rotenone,24A,2.86324861111111,2.80163090211132,3.41688229100021
Bei23,Ore,M,2,2.7014,A,2,9,Rotenone,24A,2.86324861111111,2.80163090211132,2.63978229100021
