Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
Bei04,Ore,F,121223Reruns,2,Bei04_OreBR_F_121223Reruns__6,30,80,4.8307,-13.9958,0.9777,0,0.0824,R,B,6
Bei04,Ore,F,121223Reruns,3,Bei04_OreBC_F_121223Reruns__1,18,68,2.6195,62.0243,0.9824,0,0.0396,C,B,1
Bei04,Ore,F,121223Reruns,3,Bei04_OreBC_F_121223Reruns__2,45,95,3.4016,-24.5367,0.975,0,0.0615,C,B,2
Bei04,Ore,F,121223Reruns,3,Bei04_OreBC_F_121223Reruns__3,92,142,0.9434,41.9475,0.964,0,0.0206,C,B,3
Bei04,Ore,F,121223Reruns,3,Bei04_OreBC_F_121223Reruns__4,82,132,0.6817,7.4161,0.7702,0,0.0448,C,B,4
Bei04,Ore,F,121223Reruns,3,Bei04_OreBC_F_121223Reruns__5,45,95,1.073,15.7728,0.9665,0,0.0226,C,B,5
Bei04,Ore,F,121223Reruns,3,Bei04_OreBC_F_121223Reruns__6,21,71,1.8932,23.5815,0.9816,0,0.0292,C,B,6
Bei04,Ore,F,121223Reruns,3,Bei04_OreBR_F_121223Reruns__1,92,142,3.1959,13.2011,0.9576,0,0.0763,R,B,1
Bei04,Ore,F,121223Reruns,3,Bei04_OreBR_F_121223Reruns__2,3,53,2.9777,63.942,0.989,0,0.0353,R,B,2
Bei04,Ore,F,121223Reruns,3,Bei04_OreBR_F_121223Reruns__3,71,121,2.9783,-6.4884,0.957,0,0.0717,R,B,3
Bei04,Ore,F,121223Reruns,3,Bei04_OreBR_F_121223Reruns__4,75,125,1.4411,8.5394,0.9529,0,0.0364,R,B,4
Bei04,Ore,F,121223Reruns,3,Bei04_OreBR_F_121223Reruns__5,61,111,1.8376,22.116,0.9741,0,0.0339,R,B,5
Bei04,Ore,F,121223Reruns,3,Bei04_OreBR_F_121223Reruns__6,19,69,2.7047,15.6413,0.9914,0,0.0283,R,B,6
Bei04,Ore,M,121223Reruns,1,Bei04_OreBC_M_121223Reruns__1,2,52,1.3354,44.6242,0.9766,0,0.0233,C,B,1
Bei04,Ore,M,121223Reruns,1,Bei04_OreBC_M_121223Reruns__2,15,65,1.0843,45.3944,0.9303,0,0.0339,C,B,2
Bei04,Ore,M,121223Reruns,1,Bei04_OreBC_M_121223Reruns__3,34,84,1.5154,33.0396,0.946,0,0.0412,C,B,3
Bei04,Ore,M,121223Reruns,1,Bei04_OreBC_M_121223Reruns__4,51,101,2.1503,-2.9863,0.983,0,0.0319,C,B,4
Bei04,Ore,M,121223Reruns,1,Bei04_OreBC_M_121223Reruns__5,13,63,1.708,32.9679,0.9391,0,0.0496,C,B,5
Bei04,Ore,M,121223Reruns,1,Bei04_OreBC_M_121223Reruns__6,62,112,2.7808,-5.4752,0.9416,0,0.0789,C,B,6
Bei04,Ore,M,121223Reruns,1,Bei04_OreBR_M_121223Reruns__1,8,58,2.2586,43.025,0.9859,0,0.0305,R,B,1
Bei04,Ore,M,121223Reruns,1,Bei04_OreBR_M_121223Reruns__2,16,66,2.0785,55.6918,0.9461,0,0.0565,R,B,2
Bei04,Ore,M,121223Reruns,1,Bei04_OreBR_M_121223Reruns__3,89,139,0.4772,66.6411,0.9738,0,0.0088,R,B,3
Bei04,Ore,M,121223Reruns,1,Bei04_OreBR_M_121223Reruns__4,19,69,1.7498,25.9029,0.9845,0,0.0247,R,B,4
Bei04,Ore,M,121223Reruns,1,Bei04_OreBR_M_121223Reruns__5,90,140,2.4023,54.9805,0.9535,0,0.0603,R,B,5
Bei04,Ore,M,121223Reruns,1,Bei04_OreBR_M_121223Reruns__6,21,71,2.7689,66.2601,0.9759,0,0.0491,R,B,6
Bei04,Ore,M,121223Reruns,2,Bei04_OreBC_M_121223Reruns__1,34,84,1.2937,18.3263,0.99,0,0.0146,C,B,1
Bei04,Ore,M,121223Reruns,2,Bei04_OreBC_M_121223Reruns__2,84,134,1.4292,10.8577,0.9736,0,0.0266,C,B,2
Bei04,Ore,M,121223Reruns,2,Bei04_OreBC_M_121223Reruns__3,19,69,2.3904,40.9755,0.922,0,0.0796,C,B,3
Bei04,Ore,M,121223Reruns,2,Bei04_OreBC_M_121223Reruns__4,0,50,0.9499,96.1326,0.6242,0,0.0943,C,B,4
Bei04,Ore,M,121223Reruns,2,Bei04_OreBC_M_121223Reruns__5,60,110,1.8614,6.7446,0.9591,0,0.0436,C,B,5
Bei04,Ore,M,121223Reruns,2,Bei04_OreBC_M_121223Reruns__6,49,99,3.1901,38.8277,0.9603,0,0.0736,C,B,6
Bei04,Ore,M,121223Reruns,2,Bei04_OreBR_M_121223Reruns__1,22,72,3.429,17.1669,0.9883,0,0.042,R,B,1
Bei04,Ore,M,121223Reruns,2,Bei04_OreBR_M_121223Reruns__2,21,71,2.5153,53.2634,0.9767,0,0.0439,R,B,2
Bei04,Ore,M,121223Reruns,2,Bei04_OreBR_M_121223Reruns__3,28,78,1.5066,66.3259,0.9166,0,0.0522,R,B,3
Bei04,Ore,M,121223Reruns,2,Bei04_OreBR_M_121223Reruns__4,53,103,2.9709,7.2738,0.9612,0,0.0677,R,B,4
Bei04,Ore,M,121223Reruns,2,Bei04_OreBR_M_121223Reruns__5,10,60,2.7248,63.5283,0.9634,0,0.0602,R,B,5
Bei04,Ore,M,121223Reruns,2,Bei04_OreBR_M_121223Reruns__6,18,68,4.7407,25.1781,0.9925,0,0.0462,R,B,6
Bei04,Ore,M,121223Reruns,3,Bei04_OreBC_M_121223Reruns__1,7,57,1.5764,34.8844,0.9837,0,0.0229,C,B,1
Bei04,Ore,M,121223Reruns,3,Bei04_OreBC_M_121223Reruns__2,23,73,1.8419,32.5423,0.9508,0,0.0476,C,B,2
Bei04,Ore,M,121223Reruns,3,Bei04_OreBC_M_121223Reruns__3,30,80,5.447,8.8318,0.9807,0,0.0861,C,B,3
Bei04,Ore,M,121223Reruns,3,Bei04_OreBC_M_121223Reruns__4,9,59,2.0606,36.9683,0.9632,0,0.0456,C,B,4
Bei04,Ore,M,121223Reruns,3,Bei04_OreBC_M_121223Reruns__5,47,97,2.6012,1.0079,0.9626,0,0.0581,C,B,5
Bei04,Ore,M,121223Reruns,3,Bei04_OreBC_M_121223Reruns__6,33,83,3.0947,20.3233,0.9741,0,0.057,C,B,6
Bei04,Ore,M,121223Reruns,3,Bei04_OreBR_M_121223Reruns__1,89,139,2.2837,76.8893,0.9728,0,0.0432,R,B,1
Bei04,Ore,M,121223Reruns,3,Bei04_OreBR_M_121223Reruns__2,47,97,3.1288,38.0959,0.971,0,0.0612,R,B,2
Bei04,Ore,M,121223Reruns,3,Bei04_OreBR_M_121223Reruns__3,29,79,2.6433,26.1286,0.9804,0,0.0421,R,B,3
Bei04,Ore,M,121223Reruns,3,Bei04_OreBR_M_121223Reruns__4,19,69,1.804,73.6187,0.9265,0,0.0582,R,B,4
Bei04,Ore,M,121223Reruns,3,Bei04_OreBR_M_121223Reruns__5,11,61,4.0361,17.7458,0.9929,0,0.0385,R,B,5
Bei04,Ore,M,121223Reruns,3,Bei04_OreBR_M_121223Reruns__6,27,77,3.5368,30.4234,0.9903,0,0.0394,R,B,6
Bei38,375,F,121223A,1,Bei38_375AC_F_121223A__1,72,122,2.7421,-7.2714,0.9769,0,0.0476,C,A,1
Bei38,375,F,121223A,1,Bei38_375AC_F_121223A__2,12,62,2.6878,31.9392,0.97,0,0.0535,C,A,2
Bei38,375,F,121223A,1,Bei38_375AC_F_121223A__3,43,93,2.3447,39.0143,0.9832,0,0.0346,C,A,3
Bei38,375,F,121223A,1,Bei38_375AC_F_121223A__4,49,99,3.1088,2.6065,0.9823,0,0.0471,C,A,4
Bei38,375,F,121223A,1,Bei38_375AC_F_121223A__5,27,77,2.2446,63.3838,0.9707,0,0.0441,C,A,5
Bei38,375,F,121223A,1,Bei38_375AC_F_121223A__6,11,61,3.3169,17.0834,0.9741,0,0.0611,C,A,6
Bei38,375,F,121223A,1,Bei38_375AR_F_121223A__1,6,56,2.8863,49.2114,0.9681,0,0.0593,R,A,1
Bei38,375,F,121223A,1,Bei38_375AR_F_121223A__2,85,135,2.8247,34.6328,0.9894,0,0.0329,R,A,2
Bei38,375,F,121223A,1,Bei38_375AR_F_121223A__3,26,76,1.7663,33.4126,0.9617,0,0.0399,R,A,3
Bei38,375,F,121223A,1,Bei38_375AR_F_121223A__4,2,52,1.8293,66.6245,0.9606,0,0.042,R,A,4
Bei38,375,F,121223A,1,Bei38_375AR_F_121223A__5,28,78,3.217,68.2438,0.9913,0,0.0339,R,A,5
Bei38,375,F,121223A,1,Bei38_375AR_F_121223A__6,4,54,2.4332,55.6544,0.9831,0,0.0359,R,A,6
Bei38,375,F,121223A,2,Bei38_375AC_F_121223A__1,7,57,2.2835,61.6571,0.9894,0,0.0265,C,A,1
Bei38,375,F,121223A,2,Bei38_375AC_F_121223A__2,25,75,3.4612,31.9084,0.9805,0,0.055,C,A,2
Bei38,375,F,121223A,2,Bei38_375AC_F_121223A__3,61,111,2.448,99.8915,0.9995,0,0.0062,C,A,3
Bei38,375,F,121223A,2,Bei38_375AC_F_121223A__4,1,51,2.6028,56.6106,0.9703,0,0.0515,C,A,4
Bei38,375,F,121223A,2,Bei38_375AC_F_121223A__5,30,80,3.0357,60.6345,0.9893,0,0.0355,C,A,5
Bei38,375,F,121223A,2,Bei38_375AC_F_121223A__6,51,101,3.7334,50.4067,0.9846,0,0.0526,C,A,6
Bei38,375,F,121223A,2,Bei38_375AR_F_121223A__1,49,99,3.1082,17.6222,0.9885,0,0.0378,R,A,1
Bei38,375,F,121223A,2,Bei38_375AR_F_121223A__2,11,61,3.0695,28.319,0.9854,0,0.0421,R,A,2
Bei38,375,F,121223A,2,Bei38_375AR_F_121223A__3,42,92,3.8864,12.2604,0.9917,0,0.0401,R,A,3
Bei38,375,F,121223A,2,Bei38_375AR_F_121223A__4,9,59,3.8563,40.8397,0.9861,0,0.0516,R,A,4
Bei38,375,F,121223A,2,Bei38_375AR_F_121223A__5,37,87,4.3587,38.7724,0.9965,0,0.0292,R,A,5
Bei38,375,F,121223A,2,Bei38_375AR_F_121223A__6,17,67,3.2702,50.3873,0.9922,0,0.0326,R,A,6
Bei38,375,F,121223A,3,Bei38_375AC_F_121223A__1,30,80,3.0125,29.5307,0.978,0,0.051,C,A,1
Bei38,375,F,121223A,3,Bei38_375AC_F_121223A__2,0,50,3.5656,40.6255,0.9818,0,0.0547,C,A,2
Bei38,375,F,121223A,3,Bei38_375AC_F_121223A__3,36,86,3.335,52.5256,0.9861,0,0.0446,C,A,3
Bei38,375,F,121223A,3,Bei38_375AC_F_121223A__4,42,92,3.2247,31.4498,0.9955,0,0.0244,C,A,4
Bei38,375,F,121223A,3,Bei38_375AC_F_121223A__5,8,58,4.0138,35.5875,0.995,0,0.0319,C,A,5
Bei38,375,F,121223A,3,Bei38_375AC_F_121223A__6,7,57,3.1385,87.6685,0.9735,0,0.0585,C,A,6
Bei38,375,F,121223A,3,Bei38_375AR_F_121223A__1,0,50,2.5699,64.5273,0.9828,0,0.0383,R,A,1
Bei38,375,F,121223A,3,Bei38_375AR_F_121223A__2,71,121,3.0226,32.1615,0.9912,0,0.0321,R,A,2
Bei38,375,F,121223A,3,Bei38_375AR_F_121223A__3,9,59,2.3017,34.4005,0.9759,0,0.0408,R,A,3
Bei38,375,F,121223A,3,Bei38_375AR_F_121223A__4,2,52,3.1459,83.0717,0.9749,0,0.057,R,A,4
Bei38,375,F,121223A,3,Bei38_375AR_F_121223A__5,24,74,4.5063,33.2954,0.9911,0,0.048,R,A,5
Bei38,375,F,121223A,3,Bei38_375AR_F_121223A__6,10,60,3.0251,50.633,0.9819,0,0.0463,R,A,6
Bei38,375,F,121223B,1,Bei38_375BC_F_121223B__1,56,106,4.5747,-9.7885,0.9875,0,0.0579,C,B,1
Bei38,375,F,121223B,1,Bei38_375BC_F_121223B__2,13,63,2.8741,51.7025,0.9863,0,0.0382,C,B,2
Bei38,375,F,121223B,1,Bei38_375BC_F_121223B__3,17,67,3.0321,39.7453,0.9904,0,0.0335,C,B,3
Bei38,375,F,121223B,1,Bei38_375BC_F_121223B__4,2,52,2.5643,54.686,0.9776,0,0.0439,C,B,4
Bei38,375,F,121223B,1,Bei38_375BC_F_121223B__5,42,92,3.8412,17.8116,0.9863,0,0.0511,C,B,5
Bei38,375,F,121223B,1,Bei38_375BC_F_121223B__6,3,53,3.5284,53.2214,0.9804,0,0.0563,C,B,6
Bei38,375,F,121223B,1,Bei38_375BR_F_121223B__1,32,82,3.8574,27.0143,0.9856,0,0.0525,R,B,1
Bei38,375,F,121223B,1,Bei38_375BR_F_121223B__2,38,88,4.2388,21.8599,0.992,0,0.0427,R,B,2
Bei38,375,F,121223B,1,Bei38_375BR_F_121223B__3,78,128,1.5174,57.7581,0.9982,0,0.0072,R,B,3
Bei38,375,F,121223B,1,Bei38_375BR_F_121223B__4,48,98,3.7615,12.7731,0.9928,0,0.0359,R,B,4
Bei38,375,F,121223B,1,Bei38_375BR_F_121223B__5,91,141,3.9184,-17.2404,0.9884,0,0.0479,R,B,5
Bei38,375,F,121223B,1,Bei38_375BR_F_121223B__6,50,100,2.6779,0.5571,0.969,0,0.0542,R,B,6
Bei38,375,F,121223B,2,Bei38_375BC_F_121223B__1,53,103,3.7543,27.1218,0.9799,0,0.0607,C,B,1
Bei38,375,F,121223B,2,Bei38_375BC_F_121223B__2,77,127,2.8166,54.1009,0.9905,0,0.031,C,B,2
Bei38,375,F,121223B,2,Bei38_375BC_F_121223B__3,3,53,3.0015,43.0614,0.9827,0,0.0449,C,B,3
Bei38,375,F,121223B,2,Bei38_375BC_F_121223B__4,34,84,2.97,20.9399,0.9872,0,0.0381,C,B,4
Bei38,375,F,121223B,2,Bei38_375BC_F_121223B__5,72,122,3.7157,19.6138,0.9909,0,0.0401,C,B,5
Bei38,375,F,121223B,2,Bei38_375BC_F_121223B__6,50,100,3.9762,14.4627,0.9869,0,0.0516,C,B,6
Bei38,375,F,121223B,2,Bei38_375BR_F_121223B__1,46,96,3.3977,37.8266,0.9889,0,0.0406,R,B,1
Bei38,375,F,121223B,2,Bei38_375BR_F_121223B__2,74,124,3.1504,83.6618,0.9918,0,0.0323,R,B,2
Bei38,375,F,121223B,2,Bei38_375BR_F_121223B__3,58,108,3.1633,-1.4736,0.973,0,0.0596,R,B,3
Bei38,375,F,121223B,2,Bei38_375BR_F_121223B__4,57,107,3.2335,103.9908,0.9901,0,0.0363,R,B,4
Bei38,375,F,121223B,2,Bei38_375BR_F_121223B__5,0,50,4.1976,60.9901,0.9744,0,0.0768,R,B,5
Bei38,375,F,121223B,2,Bei38_375BR_F_121223B__6,33,83,2.371,33.1478,0.9927,0,0.0229,R,B,6
Bei38,375,F,121223B,3,Bei38_375BC_F_121223B__1,6,56,3.7208,23.3368,0.9923,0,0.037,C,B,1
