Mito,Nuc,treatment,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,vial,build
375,375,R,F,71323375,1,375_375R_F_071323375__5,11,61,3.7138,79.7558,0.9981,0,0.018,5,parental
375,375,R,F,71323375,1,375_375R_F_071323375__6,17,67,3.3804,40.1531,0.9756,0,0.0604,6,parental
375,375,R,F,71323375,2,375_375R_F_071323375__1,13,63,3.5026,36.5469,0.9936,0,0.0315,1,parental
375,375,R,F,71323375,2,375_375R_F_071323375__2,61,111,2.7268,58.0381,0.9805,0,0.0434,2,parental
375,375,R,F,71323375,2,375_375R_F_071323375__3,31,81,3.3282,41.3922,0.9881,0,0.0411,3,parental
375,375,R,F,71323375,2,375_375R_F_071323375__4,82,132,3.2447,58.254,0.9947,0,0.0265,4,parental
375,375,R,F,71323375,2,375_375R_F_071323375__5,52,102,3.6446,20.9876,0.9843,0,0.0518,5,parental
375,375,R,F,71323375,2,375_375R_F_071323375__6,11,61,3.4623,56.4402,0.9863,0,0.0459,6,parental
375,375,R,F,71323375,3,375_375R_F_071323375__1,53,103,2.3411,47.4983,0.9854,0,0.0321,1,parental
375,375,R,F,71323375,3,375_375R_F_071323375__2,28,78,3.2258,40.7152,0.9837,0,0.0469,2,parental
375,375,R,F,71323375,3,375_375R_F_071323375__3,59,109,3.6256,7.8254,0.9852,0,0.05,3,parental
375,375,R,F,71323375,3,375_375R_F_071323375__4,13,63,3.1792,80.5928,0.9804,0,0.0506,4,parental
375,375,R,F,71323375,3,375_375R_F_071323375__5,54,104,4.0959,-11.5854,0.9839,0,0.0591,5,parental
375,375,R,F,71323375,3,375_375R_F_071323375__6,32,82,3.325,42.3276,0.9737,0,0.0617,6,parental
375,375,R,M,71223375,1,375_375_R_M_071223375_1,92,142,2.5954,77.6364,0.9871,0,0.0334,1,parental
375,375,R,M,71223375,1,375_375_R_M_071223375_2,89,139,3.2661,-33.4644,0.9735,0,0.0609,2,parental
375,375,R,M,71223375,1,375_375_R_M_071223375_3,9,59,2.9833,44.3118,0.9884,0,0.0363,3,parental
375,375,R,M,71223375,1,375_375_R_M_071223375_4,31,81,4.3389,62.2638,0.9917,0,0.0446,4,parental
375,375,R,M,71223375,1,375_375_R_M_071223375_5,27,77,3.6738,39.092,0.9951,0,0.0289,5,parental
375,375,R,M,71223375,1,375_375_R_M_071223375_6,21,71,5.2567,25.8493,0.9527,0,0.133,6,parental
375,375,R,M,71223375,2,375_375_R_M_071223375_1,30,80,4.5607,6.3391,0.9872,0,0.0584,1,parental
375,375,R,M,71223375,2,375_375_R_M_071223375_2,34,84,2.6163,46.717,0.9615,0,0.0593,2,parental
375,375,R,M,71223375,2,375_375_R_M_071223375_3,6,56,2.9536,94.3241,0.9863,0,0.0392,3,parental
375,375,R,M,71223375,2,375_375_R_M_071223375_4,0,50,2.1658,148.9566,0.8592,0,0.1024,4,parental
375,375,R,M,71223375,2,375_375_R_M_071223375_5,0,50,2.8631,98.5378,0.9594,0,0.0668,5,parental
375,375,R,M,71223375,2,375_375_R_M_071223375_6,42,92,2.7392,48.8613,0.8851,0,0.1143,6,parental
375,375,R,M,71223375,3,375_375_R_M_071223375_1,88,138,3.5473,-55.2795,0.978,0,0.0601,1,parental
375,375,R,M,71223375,3,375_375_R_M_071223375_2,22,72,2.8219,93.1183,0.9497,0,0.0739,2,parental
375,375,R,M,71223375,3,375_375_R_M_071223375_3,55,105,3.384,36.5144,0.8929,0,0.1355,3,parental
375,375,R,M,71223375,3,375_375_R_M_071223375_4,21,71,4.2545,75.0491,0.9965,0,0.0284,4,parental
375,375,R,M,71223375,3,375_375_R_M_071223375_5,17,67,2.7517,72.3918,0.8974,0,0.1074,5,parental
375,375,R,M,71223375,3,375_375_R_M_071223375_6,26,76,4.4746,24.9791,0.9933,0,0.0412,6,parental
375,375,R,M,71323375,1,375_375R_M_071323375__1,10,60,3.1448,69.5246,0.9885,0,0.0382,1,parental
375,375,R,M,71323375,1,375_375R_M_071323375__2,0,50,3.7269,70.903,0.9834,0,0.0545,2,parental
375,375,R,M,71323375,1,375_375R_M_071323375__3,0,50,3.9985,89.3556,0.9793,0,0.0657,3,parental
375,375,R,M,71323375,1,375_375R_M_071323375__4,6,56,4.3574,90.7355,0.9942,0,0.0375,4,parental
375,375,R,M,71323375,1,375_375R_M_071323375__5,23,73,3.4069,88.8085,0.9893,0,0.0398,5,parental
375,375,R,M,71323375,1,375_375R_M_071323375__6,34,84,5.5723,-34.0225,0.9903,0,0.0621,6,parental
375,375,R,M,71323375,2,375_375R_M_071323375__1,1,51,3.2494,64.9466,0.9787,0,0.054,1,parental
375,375,R,M,71323375,2,375_375R_M_071323375__2,7,57,3.9967,67.6242,0.9783,0,0.0672,2,parental
375,375,R,M,71323375,2,375_375R_M_071323375__3,1,51,2.3564,76.6145,0.997,0,0.0146,3,parental
375,375,R,M,71323375,2,375_375R_M_071323375__4,11,61,4.2052,104.187,0.9743,0,0.0772,4,parental
375,375,R,M,71323375,2,375_375R_M_071323375__5,0,50,4.1976,47.5098,0.9947,0,0.0343,5,parental
375,375,R,M,71323375,2,375_375R_M_071323375__6,5,55,6.0943,44.2837,0.9895,0,0.0706,6,parental
375,375,R,M,71323375,3,375_375R_M_071323375__1,41,91,2.3879,16.1052,0.9643,0,0.052,1,parental
375,375,R,M,71323375,3,375_375R_M_071323375__2,52,102,3.0353,41.7791,0.9934,0,0.0278,2,parental
375,375,R,M,71323375,3,375_375R_M_071323375__3,5,55,2.9288,81.0594,0.9536,0,0.0734,3,parental
375,375,R,M,71323375,3,375_375R_M_071323375__4,48,98,4.3909,16.7508,0.9755,0,0.0785,4,parental
375,375,R,M,71323375,3,375_375R_M_071323375__5,56,106,3.1135,15.3329,0.9847,0,0.0437,5,parental
375,375,R,M,71323375,3,375_375R_M_071323375__6,15,65,4.2604,18.2239,0.9866,0,0.0559,6,parental
Bei11,375,C,F,71223,1,Bei11_375AC_F_071223__1,12,62,3.5093,26.7589,0.9866,0,0.046,1,A
Bei11,375,C,F,71223,1,Bei11_375AC_F_071223__2,26,76,3.2006,37.8056,0.9935,0,0.0291,2,A
Bei11,375,C,F,71223,1,Bei11_375AC_F_071223__3,53,103,2.8516,35.0924,0.9972,0,0.0171,3,A
Bei11,375,C,F,71223,1,Bei11_375AC_F_071223__4,66,116,2.7349,71.4002,0.9827,0,0.0409,4,A
Bei11,375,C,F,71223,1,Bei11_375AC_F_071223__5,44,94,3.4169,47.9429,0.9995,0,0.0086,5,A
Bei11,375,C,F,71223,1,Bei11_375AC_F_071223__6,22,72,2.4428,111.168,0.9778,0,0.0415,6,A
Bei11,375,C,F,71223,2,Bei11_375AC_F_071223__1,59,109,4.0295,12.1055,0.9941,0,0.0348,1,A
Bei11,375,C,F,71223,2,Bei11_375AC_F_071223__2,72,122,3.1754,47.3598,0.9969,0,0.0198,2,A
Bei11,375,C,F,71223,2,Bei11_375AC_F_071223__3,0,50,3.1091,50.4343,0.99,0,0.0352,3,A
Bei11,375,C,F,71223,2,Bei11_375AC_F_071223__4,10,60,2.7571,66.3286,0.9904,0,0.0305,4,A
Bei11,375,C,F,71223,2,Bei11_375AC_F_071223__5,0,50,3.3761,48.5597,0.9943,0,0.0288,5,A
Bei11,375,C,F,71223,2,Bei11_375AC_F_071223__6,23,73,4.3061,43.145,0.9974,0,0.0247,6,A
Bei11,375,C,F,71223,3,Bei11_375AC_F_071223__1,51,101,4.4847,4.1013,0.9916,0,0.0465,1,A
Bei11,375,C,F,71223,3,Bei11_375AC_F_071223__2,37,87,4.3463,21.4607,0.9937,0,0.039,2,A
Bei11,375,C,F,71223,3,Bei11_375AC_F_071223__3,83,133,3.0235,35.4284,0.9921,0,0.0302,3,A
Bei11,375,C,F,71223,3,Bei11_375AC_F_071223__4,81,131,3.2326,18.9315,0.966,0,0.0687,4,A
Bei11,375,C,F,71223,3,Bei11_375AC_F_071223__5,84,134,3.6457,23.9804,0.993,0,0.0343,5,A
Bei11,375,C,F,71223,3,Bei11_375AC_F_071223__6,44,94,4.2003,16.8523,0.996,0,0.0299,6,A
Bei11,375,C,F,71323,1,Bei11_375BC_F_071323__1,25,75,3.6754,24.1053,0.994,0,0.0322,1,B
Bei11,375,C,F,71323,1,Bei11_375BC_F_071323__2,49,99,2.0495,75.3729,0.972,0,0.0393,2,B
Bei11,375,C,F,71323,1,Bei11_375BC_F_071323__3,31,81,2.5834,23.323,0.9919,0,0.0263,3,B
Bei11,375,C,F,71323,1,Bei11_375BC_F_071323__4,41,91,2.79,41.9429,0.9977,0,0.0151,4,B
Bei11,375,C,F,71323,1,Bei11_375BC_F_071323__5,54,104,2.7439,26.0292,0.9688,0,0.0557,5,B
Bei11,375,C,F,71323,1,Bei11_375BC_F_071323__6,74,124,4.0117,-42.0405,0.9862,0,0.0535,6,B
Bei11,375,C,F,71323,2,Bei11_375BC_F_071323__1,23,73,3.1378,33.5819,0.969,0,0.0634,1,B
