Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build,z,Set_adj,Pos_adj,Y_adj
46A,0.995854,13,1.005052,M,Rotenone,4,yak_375,yak,375,0.000707538461538465,A,-0.249372672060394,0.000762539432789435,0.000751470968198374,0.000696469996947405
46A,1.000118,9,1.005892,M,Rotenone,6,yak_375,yak,375,0.00064155555555555,A,-0.523776023964946,0.000674710654160654,0.000751470968198374,0.00071831586959327
46A,0.97127,12,0.978966,M,Control,6,yak_375,yak,375,0.000641333333333336,A,-0.52470018033143,0.000692333333333334,0.000743674151688568,0.00069267415168857
46A,1.014852,14,1.030084,F,Rotenone,4,yak_375,yak,375,0.00108799999999999,A,-0.439015890777335,0.00120773986568987,0.00116980665562678,0.0010500667899369
46A,1.02648,15,1.040194,F,Rotenone,2,yak_375,yak,375,0.000914266666666667,A,-1.27529349222774,0.00109585833333333,0.00116980665562678,0.000988214988960115
46A,1.038674,20,1.062902,F,Control,3,yak_375,yak,375,0.0012114,A,0.154978675717264,0.00127812768317853,0.00118354565556564,0.00111681797238711
46A,1.032426,19,1.056174,F,Control,3,yak_375,yak,375,0.0012498947368421,A,0.34027579502719,0.00127812768317853,0.00118354565556564,0.00115531270922921
46A,0.991998,11,1.003978,F,Control,7,yak_375,yak,375,0.00108909090909091,A,-0.433764723252651,0.00117147308247308,0.00118354565556564,0.00110116348218347
46A,1.030452,8,1.0386,F,Rotenone,6,yak_375,yak,375,0.00101850000000001,A,-0.773559021825627,0.00109826053391053,0.00116980665562678,0.00109004612171626
46A,1.02264,26,1.035074,M,Rotenone,1,yak_375,yak,375,0.000478230769230771,A,-1.20299540887986,0.00072456341305753,0.000751470968198374,0.000505138324371615
46A,1.03961,13,1.05449,F,Rotenone,7,yak_375,yak,375,0.00114461538461538,A,-0.166493760781056,0.00118964383394383,0.00116980665562678,0.00112477820629833
46A,1.026828,19,1.04752,F,Rotenone,1,yak_375,yak,375,0.00108905263157894,A,-0.433948974744783,0.00104212393115141,0.00116980665562678,0.00121673535605431
46A,0.993594,12,1.005916,F,Control,7,yak_375,yak,375,0.00102683333333334,A,-0.733445936568043,0.00117147308247308,0.00118354565556564,0.0010389059064259
46A,1.014894,13,1.03038,F,Rotenone,7,yak_375,yak,375,0.00119123076923078,A,0.0578926669061498,0.00118964383394383,0.00116980665562678,0.00117139359091373
46A,1.011182,24,1.029862,M,Control,3,yak_375,yak,375,0.000778333333333335,A,0.0450422196267877,0.000798993217893219,0.000743674151688568,0.000723014267128684
46A,1.004274,22,1.019728,M,Rotenone,9,yak_375,yak,375,0.000702454545454539,A,-0.270515172431505,0.000812438967070082,0.000751470968198374,0.000641486546582831
